lon,lat,elevation
-156.9833333,18.8,-3155
-156.9666667,18.8,-3627
-156.95,18.8,-3975
-156.9333333,18.8,-4366
-156.9166667,18.8,-4452
-156.9,18.8,-4475
-156.8833333,18.8,-4506
-156.8666667,18.8,-4526
-156.85,18.8,-4538
-156.8333333,18.8,-4545
-156.8166667,18.8,-4546
-156.8,18.8,-4549
-156.7833333,18.8,-4546
-156.7666667,18.8,-4549
-156.75,18.8,-4556
-156.7333333,18.8,-4556
-156.7166667,18.8,-4548
-156.7,18.8,-4534
-156.6833333,18.8,-4564
-156.6666667,18.8,-4572
-156.65,18.8,-4588
-156.6333333,18.8,-4593
-156.6166667,18.8,-4607
-156.6,18.8,-4607
-156.5833333,18.8,-4609
-156.5666667,18.8,-4604
-156.55,18.8,-4595
-156.5333333,18.8,-4464
-156.5166667,18.8,-4550
-156.5,18.8,-4610
-156.4833333,18.8,-4594
-156.4666667,18.8,-4613
-156.45,18.8,-4612
-156.4333333,18.8,-4601
-156.4166667,18.8,-4601
-156.4,18.8,-4606
-156.3833333,18.8,-4607
-156.3666667,18.8,-4620
-156.35,18.8,-4635
-156.3333333,18.8,-4635
-156.3166667,18.8,-4603
-156.3,18.8,-4461
-156.2833333,18.8,-4274
-156.2666667,18.8,-4292
-156.25,18.8,-4240
-156.2333333,18.8,-4372
-156.2166667,18.8,-4404
-156.2,18.8,-4434
-156.1833333,18.8,-4460
-156.1666667,18.8,-4425
-156.15,18.8,-4441
-156.1333333,18.8,-4464
-156.1166667,18.8,-4424
-156.1,18.8,-4494
-156.0833333,18.8,-4546
-156.0666667,18.8,-4503
-156.05,18.8,-4306
-156.0333333,18.8,-4124
-156.0166667,18.8,-3944
-156,18.8,-3899
-155.9833333,18.8,-3641
-155.9666667,18.8,-3701
-155.95,18.8,-3703
-155.9333333,18.8,-3688
-155.9166667,18.8,-3702
-155.9,18.8,-3669
-155.8833333,18.8,-3610
-155.8666667,18.8,-3492
-155.85,18.8,-3242
-155.8333333,18.8,-2993
-155.8166667,18.8,-2973
-155.8,18.8,-2681
-155.7833333,18.8,-2621
-155.7666667,18.8,-2472
-155.75,18.8,-2441
-155.7333333,18.8,-2344
-155.7166667,18.8,-1669
-155.7,18.8,-1041
-155.6833333,18.8,-1324
-155.6666667,18.8,-1730
-155.65,18.8,-2269
-155.6333333,18.8,-2561
-155.6166667,18.8,-2642
-155.6,18.8,-2882
-155.5833333,18.8,-3554
-155.5666667,18.8,-4029
-155.55,18.8,-4238
-155.5333333,18.8,-4278
-155.5166667,18.8,-4318
-155.5,18.8,-4318
-155.4833333,18.8,-4334
-155.4666667,18.8,-4339
-155.45,18.8,-4364
-155.4333333,18.8,-4408
-155.4166667,18.8,-4419
-155.4,18.8,-4472
-155.3833333,18.8,-4465
-155.3666667,18.8,-4432
-155.35,18.8,-4449
-155.3333333,18.8,-4411
-155.3166667,18.8,-4344
-155.3,18.8,-4277
-155.2833333,18.8,-4137
