'ID,Soil order,Topsoil or Subsoil,Kaolinite ,Smectite ,Vermiculite,Illite /Mica,Chlorite,Quartz ,Arophane,Gibbsite,Fe oxide,Others,Reference
1,Alfisol,T,15.5,0,34,49.5,1,0,0,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
2,Alfisol,S,22,0,46.8,29.4,1.8,0,0,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
3,Alfisol,S,14.5,0,12,71.25,2.25,0,0,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
4,Alfisol,T,10,0,2,88,0,0,0,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
5,Alfisol,S,12.33333333,0,4,83.66666667,0,0,0,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
6,Alfisol,T,15,0,5,80,0,0,0,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
7,Alfisol,S,16.94352159,0,5.813953488,77.24252492,0,0,0,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
8,Alfisol,T,6,0,6,88,0,0,0,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
9,Alfisol,S,19.54350927,0,9.70042796,70.75606277,0,0,0,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
10,Alfisol,T,13,0,3,84,0,0,0,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
11,Alfisol,S,20.25,0,4.25,75.5,0,0,0,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
12,Alfisol,S,24.66666667,0,10.66666667,64.66666667,0,0,0,0,0,0,Nishibori Y et al. (2009) Characterization and grouping of paddy soils in Shiga Prefecture with reference to clay minerals and microbial biomass. Bull. Shiga Pref. Agric. Tech. Prom. Center. 48:25_52.
13,Alfisol,T,15.15151515,3.03030303,45.45454545,3.03030303,15.15151515,15.15151515,0,0,0,3.03030303,"Hseu, Z.Y., Tsai, H., Hsi, H.C. and Chen, Y.C., 2007. Weathering sequences of clay minerals in soils along a serpentinitic toposequence. Clays and Clay Minerals, 55(4): 389_401."
14,Alfisol,S,13.15789474,2.631578947,52.63157895,2.631578947,13.15789474,13.15789474,0,0,0,2.631578947,"Hseu, Z.Y., Tsai, H., Hsi, H.C. and Chen, Y.C., 2007. Weathering sequences of clay minerals in soils along a serpentinitic toposequence. Clays and Clay Minerals, 55(4): 389_401."
15,Alfisol,T,20.75,20.75,8,50.5,0,0,0,0,0,0,"Srivastava P, Parkash B (1998) Clay minerals in soils as evidence of Holocene climate change, central Indo-Gangetic Plains, North-Central India. Quaternary Research 50:230_239."
16,Alfisol,S,24.5,24,8.75,42.75,0,0,0,0,0,0,"Srivastava P, Parkash B (1998) Clay minerals in soils as evidence of Holocene climate change, central Indo-Gangetic Plains, North-Central India. Quaternary Research 50:230_239."
17,Alfisol,T,0,41,13,40,6,0,0,0,0,0,"Srivastava P, Parkash B (1998) Clay minerals in soils as evidence of Holocene climate change, central Indo-Gangetic Plains, North-Central India. Quaternary Research 50:230_239."
18,Alfisol,S,10.5,43.5,13.6,31.4,1,0,0,0,0,0,"Srivastava P, Parkash B (1998) Clay minerals in soils as evidence of Holocene climate change, central Indo-Gangetic Plains, North-Central India. Quaternary Research 50:230_239."
19,Alfisol,T,92,0,0,8,0,0,0,0,0,0,"Wattel-Koekkoek EJW, van Genuchten PPL, Buurman P, van Lagen B (2001) Amount and composition of clay-associated soil organic matter in a range of kaolinitic and smectitic soils. Geoderma 99:27_49."
20,Alfisol,T,98,0,0,2,0,0,0,0,0,0,"Wattel-Koekkoek EJW, van Genuchten PPL, Buurman P, van Lagen B (2001) Amount and composition of clay-associated soil organic matter in a range of kaolinitic and smectitic soils. Geoderma 99:27_49."
21,Alfisol,T,95,0,0,5,0,0,0,0,0,0,"Wattel-Koekkoek EJW, van Genuchten PPL, Buurman P, van Lagen B (2001) Amount and composition of clay-associated soil organic matter in a range of kaolinitic and smectitic soils. Geoderma 99:27_49."
22,Alfisol,T,96,0,0,4,0,0,0,0,0,0,"Wattel-Koekkoek EJW, van Genuchten PPL, Buurman P, van Lagen B (2001) Amount and composition of clay-associated soil organic matter in a range of kaolinitic and smectitic soils. Geoderma 99:27_49."
23,Alfisol,T,99,1,0,0,0,0,0,0,0,0,"Wattel-Koekkoek EJW, van Genuchten PPL, Buurman P, van Lagen B (2001) Amount and composition of clay-associated soil organic matter in a range of kaolinitic and smectitic soils. Geoderma 99:27_49."
24,Alfisol,T,100,0,0,0,0,0,0,0,0,0,"Wattel-Koekkoek EJW, van Genuchten PPL, Buurman P, van Lagen B (2001) Amount and composition of clay-associated soil organic matter in a range of kaolinitic and smectitic soils. Geoderma 99:27_49."
25,Alfisol,S,21.42857143,33.33333333,9.523809524,21.42857143,9.523809524,0,0,0,0,4.761904762,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
26,Alfisol,T,22.72727273,29.54545455,9.090909091,13.63636364,20.45454545,0,0,0,0,4.545454545,"Khormali, F. and Abtahi, A., 2003. Origin and distribution of clay minerals in calcareous arid and semi-arid soils of Fars Province, southern Iran. Clay Minerals, 38: 511_527."
