,Volcano Number,Volcano Name_x,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude_x,Longitude_x,Volcano Name_y,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude_y,Longitude_y,Elevation (m),Dominant Rock Type,Tectonic Setting
0,357040,Planchon-Peteroa,22297,Confirmed Eruption,,,,,2018,,12.0,,16.0,,Historical Observations,,2018.0,,12.0,,16.0,,-35.223,-70.568,Planchon-Peteroa,Chile,Stratovolcano(es),Eruption Observed,2018 CE,South America,Central Chile and Argentina,-35.223,-70.568,3977.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
1,357090,Copahue,22299,Confirmed Eruption,Agrio Crater,,,,2018,,12.0,,2.0,,Historical Observations,,2018.0,,12.0,,7.0,,-37.856,-71.183,Copahue,Chile-Argentina,Stratovolcano,Eruption Observed,2018 CE,South America,Central Chile and Argentina,-37.856,-71.183,2953.0,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
2,267020,Karangetang,22294,Confirmed Eruption,,,,,2018,,11.0,,25.0,,Historical Observations,,2018.0,,11.0,,25.0,,2.781,125.407,Karangetang,Indonesia,Stratovolcano,Eruption Observed,2018 CE,Indonesia,Sangihe Islands,2.781,125.407,1797.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
3,282050,Kuchinoerabujima,22296,Confirmed Eruption,,,,,2018,,10.0,,21.0,,Historical Observations,>,2018.0,,12.0,,18.0,,30.443,130.217,Kuchinoerabujima,Japan,Stratovolcano(es),Eruption Observed,2018 CE,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,30.443,130.217,657.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
4,268060,Gamalama,22295,Confirmed Eruption,,,,,2018,,10.0,,4.0,,Historical Observations,,2018.0,,10.0,,6.0,,0.8,127.33,Gamalama,Indonesia,Stratovolcano(es),Eruption Observed,2018 CE,Indonesia,Halmahera,0.8,127.33,1715.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
5,266030,Soputan,22293,Confirmed Eruption,,,,,2018,,10.0,,2.0,,Historical Observations,,2018.0,,12.0,,15.0,,1.112,124.737,Soputan,Indonesia,Stratovolcano,Eruption Observed,2018 CE,Indonesia,Sulawesi,1.112,124.737,1785.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
6,260010,Barren Island,22292,Confirmed Eruption,,,,,2018,,9.0,,25.0,,Historical Observations,,2018.0,,11.0,,12.0,,12.278,93.858,Barren Island,India,Stratovolcano,Eruption Observed,2018 CE,Indonesia,Andaman Islands,12.278,93.858,354.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
7,252120,Ulawun,22286,Confirmed Eruption,,,,,2018,,9.0,,21.0,,Historical Observations,,2018.0,,10.0,,12.0,,-5.05,151.33,Ulawun,Papua New Guinea,Stratovolcano,Eruption Observed,2018 CE,Melanesia and Australia,New Britain,-5.05,151.33,2334.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
8,290200,Ketoi,22287,Confirmed Eruption,,,,,2018,,9.0,,21.0,,Historical Observations,,2018.0,,9.0,,21.0,,47.35,152.475,Ketoi,Russia,Stratovolcano,Eruption Observed,2018 CE,Kuril Islands,Kuril Islands,47.35,152.475,1172.0,Andesite / Basaltic Andesite,Subduction zone / Oceanic crust (< 15 km)
9,290240,Sarychev Peak,22288,Confirmed Eruption,,2.0,,,2018,,9.0,,12.0,1.0,Historical Observations,,2018.0,,10.0,,15.0,,48.092,153.2,Sarychev Peak,Russia,Stratovolcano,Eruption Observed,2018 CE,Kuril Islands,Kuril Islands,48.092,153.2,1496.0,Andesite / Basaltic Andesite,Subduction zone / Intermediate crust (15-25 km)
10,311060,Semisopochnoi,22289,Confirmed Eruption,,,,,2018,,9.0,,8.0,,Historical Observations,,2018.0,,10.0,,31.0,,51.93,179.58,Semisopochnoi,United States,Stratovolcano,Eruption Observed,2018 CE,Alaska,Aleutian Islands,51.93,179.58,1221.0,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
11,312070,Veniaminof,22290,Confirmed Eruption,,1.0,,,2018,,9.0,,4.0,,Historical Observations,>,2018.0,,12.0,,20.0,,56.17,-159.38,Veniaminof,United States,Stratovolcano,Eruption Observed,2018 CE,Alaska,Alaska Peninsula,56.17,-159.38,2507.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
12,290390,Alaid,22281,Confirmed Eruption,,1.0,,,2018,,8.0,,20.0,,Historical Observations,,2018.0,,8.0,,21.0,,50.861,155.565,Alaid,Russia,Stratovolcano,Eruption Observed,2018 CE,Kuril Islands,Kuril Islands,50.861,155.565,2285.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
13,352090,Sangay,22283,Confirmed Eruption,,2.0,,,2018,,8.0,,8.0,,Historical Observations,>,2018.0,,12.0,,7.0,,-2.005,-78.341,Sangay,Ecuador,Stratovolcano,Eruption Observed,2018 CE,South America,Ecuador,-2.005,-78.341,5286.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
14,345020,Rincon de la Vieja,22282,Confirmed Eruption,,1.0,,,2018,,7.0,,28.0,,Historical Observations,,2018.0,,12.0,,3.0,,10.83,-85.324,Rincon de la Vieja,Costa Rica,Complex,Eruption Observed,2018 CE,México and Central America,Costa Rica,10.83,-85.324,1916.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
15,284096,Nishinoshima,22280,Confirmed Eruption,,1.0,,,2018,,7.0,,12.0,,Historical Observations,,2018.0,,7.0,,12.0,,27.247,140.874,Nishinoshima,Japan,Caldera,Eruption Observed,2018 CE,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",27.247,140.874,25.0,Andesite / Basaltic Andesite,Subduction zone / Crustal thickness unknown
16,353050,"Negra, Sierra",22279,Confirmed Eruption,Summit crater and NNW flank,2.0,,,2018,,6.0,,26.0,,Historical Observations,,2018.0,,8.0,,23.0,,-0.83,-91.17,"Negra, Sierra",Ecuador,Shield,Eruption Observed,2018 CE,South America,Galapagos Islands,-0.83,-91.17,1124.0,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km)
17,344040,Telica,22277,Confirmed Eruption,,1.0,,,2018,,6.0,,21.0,,Historical Observations,,2018.0,,8.0,,15.0,,12.606,-86.84,Telica,Nicaragua,Stratovolcano(es),Eruption Observed,2018 CE,México and Central America,Nicaragua,12.606,-86.84,1036.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
