CITATION,EPSILON_HF,EPSILON_ND,HF176_HF177,LAND/SEA (SAMPLING),LATITUDE (MAX.),LATITUDE (MIN.),LOCATION,LOCATION COMMENT,LONGITUDE (MAX.),LONGITUDE (MIN.),ND143_ND144,PB206_PB204,PB207_PB204,PB208_PB204,ROCK NAME,ROCK TYPE,SAMPLE NAME,SAMPLING TECHNIQUE,SR87_SR86,TECTONIC SETTING,TYPE OF MATERIAL,UNIQUE_ID,Year
 [60] STILLE P. (1986),14.534009936877652,7.607707583126698,0.283196,SUBAERIAL,19.83,19.83,HAWAIIAN ISLANDS ,,-155.42,-155.42,0.5130279999999999,18.398,15.49,38.017,ANKARAMITE,VOLCANIC ROCK,samp. 79MK1,OUTCROP,0.7034699999999999,OCEAN ISLAND,WHOLE ROCK,107-79MK1,1986
 [60] STILLE P. (1986),10.538041268099967,6.378770204315058,0.283083,SUBAERIAL,22.0,22.0,HAWAIIAN ISLANDS ,NAPALI MEMBER,-159.5,-159.5,0.512965,18.07,15.442,37.803,THOLEIITE,VOLCANIC ROCK,samp. KAU-1,OUTCROP,0.7038399999999999,OCEAN ISLAND,WHOLE ROCK,5-KAU-1,1986
 [60] STILLE P. (1986),11.033117032373674,6.281235491712367,0.283097,SUBAERIAL,22.0,22.0,HAWAIIAN ISLANDS ,NAPALI MEMBER,-159.5,-159.5,0.5129600000000001,18.447,15.512,37.962,THOLEIITE,VOLCANIC ROCK,samp. 1D872-2,OUTCROP,0.7036399999999999,OCEAN ISLAND,WHOLE ROCK,,1986
 [60] STILLE P. (1986),12.164718779285007,5.696027216085403,0.283129,SUBAERIAL,21.15,21.15,HAWAIIAN ISLANDS ,,-156.97,-156.97,0.51293,18.133,15.455,37.751,THOLEIITE,VOLCANIC ROCK,samp. 71WMOL-1,OUTCROP,0.7037800000000001,OCEAN ISLAND,WHOLE ROCK,782-71WMOL-1,1986
 [60] STILLE P. (1986),15.135173364923315,5.891096641292949,0.283213,SUBAERIAL,21.16,21.16,HAWAIIAN ISLANDS ,,-157.23,-157.23,0.51294,18.167,15.46,37.754,THOLEIITE,VOLCANIC ROCK,samp. 71WMOL-3,OUTCROP,0.70376,OCEAN ISLAND,WHOLE ROCK,783-71WMOL-3,1986
 [60] STILLE P. (1986),14.922998037379402,7.373624272878512,0.28320700000000004,SUBAERIAL,21.18,21.18,HAWAIIAN ISLANDS ,,-157.77,-157.77,0.513016,18.391,15.489,37.952,"BASALT, ALKALINE",VOLCANIC ROCK,samp. C-44,OUTCROP,0.70368,OCEAN ISLAND,WHOLE ROCK,774-C-44,1986
 [60] STILLE P. (1986),15.700974238378981,8.914672732023957,0.283229,SUBAERIAL,20.91,20.91,HAWAIIAN ISLANDS ,OLOWALU STREAM,-156.59,-156.59,0.513095,18.416,15.468,37.907,"BASALT, ALKALINE",VOLCANIC ROCK,samp. C-114,OUTCROP,0.7034600000000001,OCEAN ISLAND,WHOLE ROCK,572-C-114,1986
 [60] STILLE P. (1986),14.321834609331775,7.159047905149563,0.28319,SUBAERIAL,20.91,20.91,HAWAIIAN ISLANDS ,OLOWALU STREAM,-156.59,-156.59,0.513005,18.474,15.535,37.974,"BASALT, ALKALINE",VOLCANIC ROCK,samp. HMT79-2B,OUTCROP,0.70352,OCEAN ISLAND,WHOLE ROCK,,1986
 [345] STILLE P. (1983),15.524161465423102,8.03686031858676,0.283224,SUBAERIAL,21.34,21.34,HAWAIIAN ISLANDS ,"SUGARLOAF CONE, MO(I)LIILI QUARRY",-157.85,-157.85,0.51305,18.038,15.443,37.689,"NEPHELINITE, MELILITE",VOLCANIC ROCK,samp. OA-1,OUTCROP,0.70321,OCEAN ISLAND,WHOLE ROCK,841-OA-1,1983
 [345] STILLE P. (1983),14.816910373605484,7.66622841069091,0.283204,SUBAERIAL,21.34,21.34,HAWAIIAN ISLANDS ,UPPER NUUANU FLOW,-157.85,-157.85,0.513031,18.17,15.468,37.822,NEPHELINITE,VOLCANIC ROCK,samp. OA-3,OUTCROP,0.70318,OCEAN ISLAND,WHOLE ROCK,842-OA-3,1983
