Age (ka),Insolation (W/m^2)
0,6.763
1,6.776
2,6.788
3,6.799
4,6.81
5,6.819
6,6.828
7,6.834
8,6.838
9,6.841
10,6.841
11,6.839
12,6.834
13,6.827
14,6.818
15,6.807
16,6.795
17,6.781
18,6.766
19,6.751
20,6.736
21,6.721
22,6.706
23,6.693
24,6.681
25,6.671
26,6.663
27,6.657
28,6.654
29,6.653
30,6.655
31,6.659
32,6.666
33,6.675
34,6.686
35,6.699
36,6.713
37,6.729
38,6.745
39,6.762
40,6.778
41,6.794
42,6.809
43,6.823
44,6.835
45,6.845
46,6.853
47,6.858
48,6.861
49,6.862
50,6.86
51,6.855
52,6.848
53,6.839
54,6.829
55,6.816
56,6.803
57,6.789
58,6.775
59,6.76
60,6.746
61,6.732
62,6.719
63,6.706
64,6.696
65,6.686
66,6.678
67,6.672
68,6.667
69,6.665
70,6.664
71,6.665
72,6.668
73,6.672
74,6.678
75,6.686
76,6.694
77,6.704
78,6.715
79,6.727
80,6.739
81,6.752
82,6.765
83,6.778
84,6.79
85,6.802
86,6.813
87,6.823
88,6.832
89,6.839
90,6.844
91,6.848
92,6.85
93,6.849
94,6.847
95,6.843
96,6.836
97,6.828
98,6.818
99,6.807
100,6.794
101,6.78
102,6.766
103,6.752
104,6.738
105,6.724
106,6.711
107,6.7
108,6.69
109,6.681
110,6.675
111,6.67
112,6.668
113,6.669
114,6.671
115,6.676
116,6.684
117,6.693
118,6.704
119,6.717
120,6.731
121,6.745
122,6.761
123,6.776
124,6.79
125,6.804
126,6.817
127,6.828
128,6.836
129,6.843
130,6.847
131,6.848
132,6.847
133,6.843
134,6.837
135,6.828
136,6.818
137,6.806
138,6.792
139,6.778
140,6.763
141,6.749
142,6.735
143,6.722
144,6.71
145,6.699
146,6.69
147,6.683
148,6.679
149,6.676
150,6.676
151,6.678
152,6.682
153,6.688
154,6.696
155,6.705
156,6.715
157,6.727
158,6.739
159,6.751
160,6.764
161,6.776
162,6.787
163,6.798
164,6.807
165,6.816
166,6.822
167,6.827
168,6.831
169,6.832
170,6.832
171,6.83
172,6.827
173,6.822
174,6.816
175,6.808
176,6.799
177,6.79
178,6.78
179,6.77
180,6.759
181,6.748
182,6.737
183,6.727
184,6.717
185,6.708
186,6.7
187,6.693
188,6.687
189,6.682
190,6.678
191,6.677
192,6.677
193,6.678
194,6.682
195,6.687
196,6.694
197,6.702
198,6.712
199,6.723
200,6.736
201,6.749
202,6.764
203,6.778
204,6.793
205,6.808
206,6.822
207,6.835
208,6.846
209,6.856
210,6.864
211,6.87
212,6.873
213,6.874
214,6.872
215,6.867
216,6.859
217,6.849
218,6.836
219,6.822
220,6.806
221,6.789
222,6.771
223,6.753
224,6.734
225,6.717
226,6.701
227,6.686
228,6.673
229,6.662
230,6.654
231,6.648
232,6.646
233,6.646
234,6.649
235,6.655
236,6.663
237,6.674
238,6.687
239,6.702
240,6.718
241,6.735
242,6.752
243,6.77
244,6.787
245,6.803
246,6.818
247,6.831
248,6.842
249,6.851
250,6.857
251,6.86
252,6.861
253,6.859
254,6.855
255,6.848
256,6.84
257,6.829
258,6.818
259,6.805
260,6.792
261,6.778
262,6.764
263,6.751
264,6.738
265,6.726
266,6.715
267,6.706
268,6.698
269,6.691
270,6.687
271,6.683
272,6.682
273,6.682
274,6.683
275,6.686
276,6.691
277,6.696
278,6.703
279,6.71
280,6.718
281,6.727
282,6.736
283,6.746
284,6.755
285,6.765
286,6.774
287,6.783
288,6.791
289,6.799
290,6.805
291,6.81
292,6.815
293,6.818
294,6.819
295,6.82
296,6.818
297,6.815
298,6.811
299,6.805
300,6.799
301,6.79
302,6.781
303,6.771
304,6.761
305,6.75
306,6.739
307,6.729
308,6.719
309,6.709
310,6.701
311,6.694
312,6.689
313,6.685
314,6.684
315,6.684
316,6.686
317,6.691
318,6.697
319,6.705
320,6.715
321,6.726
322,6.738
323,6.751
324,6.765
325,6.779
326,6.792
327,6.805
328,6.817
329,6.827
330,6.836
331,6.842
332,6.846
333,6.848
334,6.847
335,6.843
336,6.837
337,6.829
338,6.819
339,6.807
340,6.793
341,6.778
342,6.763
343,6.747
344,6.731
345,6.717
346,6.703
347,6.69
348,6.68
349,6.671
350,6.664
351,6.66
352,6.658
353,6.659
354,6.662
355,6.667
356,6.674
357,6.684
358,6.695
359,6.707
360,6.72
361,6.735
362,6.749
363,6.764
364,6.778
365,6.792
366,6.804
367,6.816
368,6.826
369,6.834
370,6.84
371,6.845
372,6.847
373,6.847
374,6.845
375,6.842
376,6.836
377,6.829
378,6.82
379,6.811
380,6.8
381,6.788
382,6.776
383,6.764
384,6.752
385,6.739
386,6.728
387,6.717
388,6.706
389,6.697
390,6.689
391,6.682
392,6.676
393,6.672
394,6.67
395,6.669
396,6.67
397,6.672
398,6.676
399,6.681
400,6.688
401,6.697
402,6.706
403,6.717
404,6.728
405,6.741
406,6.753
407,6.766
408,6.779
409,6.791
410,6.803
411,6.814
412,6.823
413,6.832
414,6.838
415,6.843
416,6.845
417,6.846
418,6.844
419,6.84
420,6.834
421,6.826
422,6.817
423,6.806
424,6.793
425,6.78
426,6.766
427,6.752
428,6.738
429,6.725
430,6.712
431,6.701
432,6.691
433,6.683
434,6.676
435,6.672
436,6.669
437,6.669
438,6.671
439,6.676
440,6.682
441,6.69
442,6.699
443,6.71
444,6.722
445,6.735
446,6.747
447,6.76
448,6.773
449,6.784
450,6.795
451,6.804
452,6.812
453,6.818
454,6.822
455,6.824
456,6.824
457,6.822
458,6.818
459,6.813
460,6.806
461,6.797
462,6.788
463,6.778
464,6.768
465,6.758
466,6.748
467,6.738
468,6.729
469,6.721
470,6.714
471,6.708
472,6.704
473,6.701
474,6.699
475,6.699
476,6.7
477,6.703
478,6.707
479,6.712
480,6.718
481,6.725
482,6.732
483,6.74
484,6.748
485,6.757
486,6.765
487,6.773
488,6.78
489,6.788
490,6.794
491,6.799
492,6.804
493,6.807
494,6.809
495,6.811
496,6.81
497,6.809
498,6.807
499,6.803
500,6.798
501,6.793
502,6.786
503,6.778
504,6.77
505,6.762
506,6.753
507,6.744
508,6.735
509,6.726
510,6.718
511,6.71
512,6.703
513,6.697
514,6.692
515,6.689
516,6.687
517,6.686
518,6.687
519,6.69
520,6.694
521,6.699
522,6.707
523,6.715
524,6.725
525,6.735
526,6.747
527,6.758
528,6.77
529,6.782
530,6.794
531,6.805
532,6.814
533,6.823
534,6.83
535,6.835
536,6.839
537,6.84
538,6.839
539,6.836
540,6.831
541,6.825
542,6.816
543,6.806
544,6.795
545,6.783
546,6.77
547,6.757
548,6.744
549,6.731
550,6.719
551,6.708
552,6.698
553,6.689
554,6.683
555,6.677
556,6.674
557,6.672
558,6.673
559,6.675
560,6.679
561,6.685
562,6.692
563,6.7
564,6.71
565,6.72
566,6.731
567,6.743
568,6.754
569,6.766
570,6.777
571,6.787
572,6.797
573,6.805
574,6.813
575,6.819
576,6.824
577,6.828
578,6.83
579,6.83
580,6.829
581,6.827
582,6.823
583,6.818
584,6.813
585,6.806
586,6.798
587,6.79
588,6.781
589,6.772
590,6.763
591,6.754
592,6.745
593,6.737
594,6.729
595,6.722
596,6.715
597,6.71
598,6.706
599,6.702
600,6.7
601,6.7
602,6.7
603,6.702
604,6.705
605,6.709
606,6.714
607,6.72
608,6.727
609,6.735
610,6.743
611,6.751
612,6.76
613,6.768
614,6.776
615,6.784
616,6.79
617,6.796
618,6.801
619,6.805
620,6.807
621,6.808
622,6.808
623,6.806
624,6.803
625,6.799
626,6.794
627,6.787
628,6.78
629,6.772
630,6.764
631,6.756
632,6.748
633,6.74
634,6.733
635,6.726
636,6.72
637,6.716
638,6.712
639,6.71
640,6.709
641,6.709
642,6.71
643,6.713
644,6.717
645,6.721
646,6.727
647,6.733
648,6.739
649,6.746
650,6.753
651,6.76
652,6.767
653,6.773
654,6.779
655,6.784
656,6.787
657,6.791
658,6.793
659,6.793
660,6.793
661,6.792
662,6.79
663,6.787
664,6.783
665,6.779
666,6.774
667,6.768
668,6.762
669,6.757
670,6.75
671,6.744
672,6.739
673,6.733
674,6.728
675,6.724
676,6.72
677,6.717
678,6.715
679,6.713
680,6.713
681,6.713
682,6.714
683,6.716
684,6.719
685,6.723
686,6.727
687,6.733
688,6.739
689,6.745
690,6.752
691,6.759
692,6.767
693,6.774
694,6.781
695,6.788
696,6.795
697,6.801
698,6.806
699,6.81
700,6.813
701,6.815
702,6.816
703,6.815
704,6.813
705,6.809
706,6.805
707,6.799
708,6.792
709,6.784
710,6.776
711,6.766
712,6.757
713,6.747
714,6.737
715,6.728
716,6.719
717,6.711
718,6.704
719,6.698
720,6.693
721,6.689
722,6.687
723,6.687
724,6.688
725,6.69
726,6.694
727,6.7
728,6.706
729,6.713
730,6.722
731,6.731
732,6.74
733,6.75
734,6.76
735,6.769
736,6.778
737,6.786
738,6.794
739,6.801
740,6.806
741,6.81
742,6.813
743,6.815
744,6.815
745,6.814
746,6.812
747,6.808
748,6.804
749,6.799
750,6.793
751,6.786
752,6.779
753,6.772
754,6.764
755,6.756
756,6.749
757,6.742
758,6.735
759,6.728
760,6.722
761,6.717
762,6.712
763,6.709
764,6.706
765,6.704
766,6.702
767,6.702
768,6.702
769,6.704
770,6.706
771,6.709
772,6.713
773,6.718
774,6.723
775,6.729
776,6.735
777,6.742
778,6.749
779,6.756
780,6.764
781,6.77
782,6.777
783,6.783
784,6.789
785,6.793
786,6.797
787,6.8
788,6.802
789,6.803
790,6.802
791,6.8
792,6.798
793,6.794
794,6.789
795,6.783
796,6.777
797,6.77
798,6.762
799,6.755
800,6.747
801,6.74
802,6.733
803,6.727
804,6.722
805,6.717
806,6.714
807,6.711
808,6.71
809,6.71
810,6.712
811,6.714
812,6.717
813,6.722
814,6.727
815,6.732
816,6.738
817,6.745
818,6.751
819,6.758
820,6.764
821,6.769
822,6.774
823,6.778
824,6.782
825,6.784
826,6.785
827,6.786
828,6.785
829,6.784
830,6.781
831,6.778
832,6.774
833,6.77
834,6.765
835,6.76
836,6.755
837,6.75
838,6.745
839,6.741
840,6.737
841,6.733
842,6.73
843,6.728
844,6.726
845,6.725
846,6.724
847,6.725
848,6.726
849,6.727
850,6.729
851,6.732
852,6.735
853,6.739
854,6.742
855,6.747
856,6.751
857,6.756
858,6.76
859,6.765
860,6.77
861,6.774
862,6.779
863,6.783
864,6.786
865,6.789
866,6.792
867,6.794
868,6.796
869,6.797
870,6.796
871,6.795
872,6.794
873,6.791
874,6.787
875,6.783
876,6.777
877,6.771
878,6.765
879,6.757
880,6.75
881,6.742
882,6.735
883,6.727
884,6.72
885,6.713
886,6.707
887,6.702
888,6.698
889,6.696
890,6.694
891,6.694
892,6.696
893,6.698
894,6.702
895,6.708
896,6.715
897,6.723
898,6.732
899,6.741
900,6.751
901,6.762
902,6.772
903,6.782
904,6.792
905,6.8
906,6.808
907,6.815
908,6.82
909,6.824
910,6.826
911,6.826
912,6.824
913,6.821
914,6.817
915,6.811
916,6.804
917,6.795
918,6.786
919,6.776
920,6.766
921,6.756
922,6.746
923,6.736
924,6.727
925,6.718
926,6.711
927,6.705
928,6.699
929,6.695
930,6.693
931,6.692
932,6.692
933,6.693
934,6.696
935,6.699
936,6.704
937,6.71
938,6.716
939,6.723
940,6.731
941,6.739
942,6.747
943,6.755
944,6.764
945,6.772
946,6.779
947,6.787
948,6.793
949,6.799
950,6.805
951,6.809
952,6.813
953,6.816
954,6.817
955,6.818
956,6.818
957,6.816
958,6.814
959,6.811
960,6.806
961,6.801
962,6.795
963,6.788
964,6.781
965,6.773
966,6.765
967,6.757
968,6.749
969,6.741
970,6.733
971,6.726
972,6.72
973,6.714
974,6.71
975,6.707
976,6.705
977,6.705
978,6.705
979,6.708
980,6.711
981,6.716
982,6.722
983,6.73
984,6.737
985,6.746
986,6.755
987,6.764
988,6.773
989,6.782
990,6.79
991,6.797
992,6.803
993,6.808
994,6.811
995,6.813
996,6.813
997,6.812
998,6.809
999,6.805
1000,6.799
1001,6.792
1002,6.784
1003,6.775
1004,6.766
1005,6.756
1006,6.747
1007,6.738
1008,6.729
1009,6.722
1010,6.715
1011,6.71
1012,6.705
1013,6.703
1014,6.702
1015,6.702
1016,6.704
1017,6.707
1018,6.712
1019,6.718
1020,6.724
1021,6.732
1022,6.74
1023,6.748
1024,6.757
1025,6.765
1026,6.773
1027,6.78
1028,6.787
1029,6.793
1030,6.797
1031,6.801
1032,6.803
1033,6.804
1034,6.804
1035,6.803
1036,6.801
1037,6.797
1038,6.793
1039,6.788
1040,6.782
1041,6.776
1042,6.77
1043,6.763
1044,6.756
1045,6.749
1046,6.742
1047,6.736
1048,6.73
1049,6.725
1050,6.72
1051,6.716
1052,6.712
1053,6.71
1054,6.708
1055,6.707
1056,6.707
1057,6.708
1058,6.711
1059,6.714
1060,6.718
1061,6.723
1062,6.729
1063,6.736
1064,6.744
1065,6.752
1066,6.761
1067,6.77
1068,6.78
1069,6.79
1070,6.799
1071,6.808
1072,6.817
1073,6.824
1074,6.831
1075,6.836
1076,6.84
1077,6.842
1078,6.843
1079,6.841
1080,6.838
1081,6.832
1082,6.825
1083,6.816
1084,6.805
1085,6.794
1086,6.781
1087,6.767
1088,6.753
1089,6.739
1090,6.725
1091,6.712
1092,6.7
1093,6.689
1094,6.68
1095,6.673
1096,6.668
1097,6.664
1098,6.664
1099,6.665
1100,6.669
1101,6.675
1102,6.683
1103,6.692
1104,6.704
1105,6.716
1106,6.73
1107,6.744
1108,6.759
1109,6.773
1110,6.787
1111,6.8
1112,6.812
1113,6.822
1114,6.831
1115,6.837
1116,6.842
1117,6.844
1118,6.844
1119,6.842
1120,6.838
1121,6.832
1122,6.824
1123,6.815
1124,6.805
1125,6.794
1126,6.783
1127,6.771
1128,6.76
1129,6.748
1130,6.737
1131,6.727
1132,6.718
1133,6.71
1134,6.703
1135,6.697
1136,6.693
1137,6.69
1138,6.688
1139,6.688
1140,6.689
1141,6.691
1142,6.694
1143,6.698
1144,6.704
1145,6.71
1146,6.717
1147,6.724
1148,6.732
1149,6.74
1150,6.748
1151,6.757
1152,6.765
1153,6.774
1154,6.782
1155,6.789
1156,6.796
1157,6.802
1158,6.807
1159,6.811
1160,6.814
1161,6.816
1162,6.817
1163,6.816
1164,6.813
1165,6.81
1166,6.805
1167,6.799
1168,6.791
1169,6.783
1170,6.774
1171,6.764
1172,6.755
1173,6.744
1174,6.734
1175,6.725
1176,6.716
1177,6.708
1178,6.701
1179,6.696
1180,6.692
1181,6.691
1182,6.69
1183,6.692
1184,6.696
1185,6.701
1186,6.708
1187,6.717
1188,6.727
1189,6.738
1190,6.75
1191,6.762
1192,6.774
1193,6.786
1194,6.797
1195,6.807
1196,6.815
