SAMPLE ID,CALCULATED AGE (Ma),CALCULATED MAX AGE,CACLULATED MIN AGE,AGE TECHNIQUE,AGE MINERAL,LATITUDE,LONGITUDE,SIO2
MC88,0.33,0.37,0.29,K-AR,WHOLE ROCK,35.2275,-115.7315,
6,20.7,21.3,20.1,K-AR,BIOTITE,33.4658,-115.5828,
MC37,0.25,0.3,0.2,K-AR,WHOLE ROCK,35.257,-115.7478,47.9
MC21,0.63,0.74,0.52,K-AR,WHOLE ROCK,35.2232,-115.7808,47.1
1,18.6,19.2,18,K-AR,BIOTITE,34.3,-117.9167,
KA 2166,22.38,23.08,21.68,K-AR,BIOTITE,34.9262,-118.954,
KA 2117,16.53,17.33,15.73,K-AR,PLAGIOCLASE,34.0127,-119.6831,
KA 2141R,16.94,18.14,15.74,K-AR,PLAGIOCLASE,35.1031,-120.4824,
KA 2170,15.4,16.4,14.4,K-AR,PLAGIOCLASE,32.9902,-118.557,
169,16,18,15,REG-COR,none,34.0499,-119.8204,57.16
6,18.1,18.6,17.6,K-AR,PLAGIOCLASE,35.03,-116.89,
2,6.47,6.65,6.29,K-AR,WHOLE ROCK,35.2301,-115.6822,
3,14,14.4,13.6,K-AR,BIOTITE,34.3,-117.9167,
5,23.4,24.1,22.7,K-AR,BIOTITE,33.4658,-115.5828,
1,10.2,10.21,10.19,K-AR,none,35.088,-115.3615,50.12
3,10.2,11.22,9.18,K-AR,none,35.088,-115.3615,45.98
PD-3,25,26.1,23.9,K-AR,none,33.426666,-114.86889,
HSV3,16.1,16.4,15.8,STRAT,none,35,-115.25,69.5
UPC1,23,25,21,REG-COR,none,35.32,-120.22,51.06
5,23.4,24.1,22.7,K-AR,BIOTITE,33.4658,-115.5828,
23,1.2,1.5,0.9,REG-COR,none,34.3261,-119,77.06
9,14,14.6,13.4,K-AR,BIOTITE,34.3,-117.9167,
BARS-2,18,20,17,REG-COR,none,34.8768,-116.89,70
3,0.62,0.64,0.6,REG-COR,none,34.2989,-119.2828,77.81
51,0.6,0.66,0.54,REG-COR,none,35.52,-117.3822,77
31,2,2.1,1.9,STRAT,none,34.9739,-116.5356,
11,0.73,0.803,0.657,REG-COR,none,33.6,-116.6956,78.15
KA 449,15.5,17.05,13.95,K-AR,BIOTITE,34.9,-117,
MC85,0.09,0.16,0.02,K-AR,WHOLE ROCK,35.1885,-115.8505,
MC86,0.13,0.16,0.1,K-AR,WHOLE ROCK,35.1895,-115.851,
1120-3,18.5,22.5,14.5,REG-COR,none,34.3748,-114.7791,46.31
SM-1,17.9,21.6,14.2,K-AR,PLAGIOCLASE,34.7682,-119.1267,
SM-2,20.1,21.2,19,K-AR,PLAGIOCLASE,34.7613,-119.1518,
MC87,0.5,0.53,0.47,K-AR,WHOLE ROCK,35.2025,-115.7315,
LG-16,24.5,25.3,23.7,K-AR,PLAGIOCLASE,34.478,-118.357,
LG-17,25.6,27.7,23.5,K-AR,PLAGIOCLASE,34.4883,-118.363,
HF-1,21.4,24.3,18.5,K-AR,PLAGIOCLASE,33.577,-115.6408,
HF-2,20.6,29.5,11.7,K-AR,PLAGIOCLASE,33.5983,-115.7378,
MC111,0.5,0.49,0.41,K-AR,WHOLE ROCK,35.2012,-115.7615,
MC90,0.14,0.18,0.1,K-AR,WHOLE ROCK,35.2159,-115.7525,
MC91c,6.92,7.24,6.6,K-AR,WHOLE ROCK,35.2191,-115.6845,
MC100,1.09,1.17,1.01,K-AR,WHOLE ROCK,35.2438,-115.6745,
A-8,18.5,22.5,14.5,REG-COR,none,34.381,-114.7757,75.7
4,23.2,24,22.4,K-AR,BIOTITE,33.4658,-115.5828,
MC115,3.27,3.4,3.14,K-AR,WHOLE ROCK,35.3475,-115.7305,
MC121,0.15,0.19,0.11,K-AR,WHOLE ROCK,35.1949,-115.8462,
MC122,0.4,0.64,0.16,K-AR,WHOLE ROCK,35.1939,-115.8479,
MC123,0.51,0.55,0.47,K-AR,WHOLE ROCK,35.1891,-115.8325,
MC124,1.14,1.26,1.02,K-AR,WHOLE ROCK,35.198,-115.7049,
MC1,3.88,3.97,3.79,K-AR,WHOLE ROCK,35.3078,-115.7755,
MC1a,3.8,3.95,3.71,K-AR,WHOLE ROCK,35.3078,-115.7755,50.1
MC2,6.47,6.65,6.29,K-AR,WHOLE ROCK,35.2145,-115.7025,
MC2a,7.55,7.72,7.38,K-AR,WHOLE ROCK,35.2145,-115.7025,
MC6,0.33,0.38,0.28,K-AR,WHOLE ROCK,35.226,-115.7185,
MC11,0.56,0.64,0.48,K-AR,WHOLE ROCK,35.1638,-115.8065,
MC12,0.58,0.74,0.42,K-AR,WHOLE ROCK,35.204,-115.8705,47.4
MC13,0.17,0.23,0.11,K-AR,WHOLE ROCK,35.2065,-115.8735,
MC14,0.2,0.21,0.13,K-AR,WHOLE ROCK,35.2035,-115.8665,
MC16,0.32,0.41,0.23,K-AR,WHOLE ROCK,35.2015,-115.868,
MC19,0.13,0.19,0.07,K-AR,WHOLE ROCK,35.2175,-115.7522,
MC20,0.46,0.54,0.38,K-AR,WHOLE ROCK,35.2005,-115.8095,48.1
MC24,0.75,0.97,0.53,K-AR,WHOLE ROCK,35.2421,-115.7872,
MC25,0.39,0.47,0.31,K-AR,WHOLE ROCK,35.245,-115.7875,48.3
MC26,0.06,0.09,0.03,K-AR,WHOLE ROCK,35.1955,-115.8088,
