Lon,Lat,Pole_Az,Pole_Plunge
-115.6845726,33.5473268,340.0,13.0
-115.6843407,33.54728342,359.0,14.0
-115.6843407,33.54728342,347.0,11.0
-115.6851124,33.54740778,332.0,13.0
-115.6856496,33.54754485,12.0,32.0
-115.6861682,33.54916319,215.0,10.0
-115.6864118,33.54943413,184.0,22.0
-115.6864118,33.54943413,190.0,26.0
-115.6864605,33.54977695,124.0,46.0
-115.686503,33.55000196,109.0,39.0
-115.6865473,33.55016449,110.0,43.0
-115.6866138,33.55033054,98.0,34.0
-115.6866449,33.55055287,115.0,27.0
-115.6867134,33.55072821,100.0,62.0
-115.6867866,33.55087825,84.0,59.0
-115.6874768,33.55192947,66.0,62.0
-115.6873769,33.55206831,104.0,67.0
-115.6874157,33.55202079,92.0,61.0
-115.6890369,33.55307196,32.0,31.0
-115.6894576,33.5531347,87.0,61.0
-115.689675,33.55332883,58.0,52.0
-115.689675,33.55332883,65.0,52.0
-115.689769,33.55322799,54.0,36.0
-115.6897271,33.55299129,67.0,42.0
-115.689848,33.5529951,68.0,40.0
-115.689848,33.5529951,50.0,46.0
-115.689848,33.5529951,198.0,14.0
-115.689848,33.5529951,184.0,48.0
-115.690158,33.55297775,182.0,46.0
-115.6899465,33.55291464,152.0,38.0
-115.6900087,33.55296207,157.0,16.0
-115.6899107,33.55301039,45.0,54.0
-115.6899695,33.5531386,49.0,58.0
-115.6899883,33.55306821,181.0,15.0
-115.689809,33.55298999,60.0,49.0
-115.6902581,33.55298144,192.0,34.0
-115.69028,33.55295583,192.0,52.0
-115.6902673,33.55292595,2.0,0.0
-115.6901777,33.55287524,75.0,1.0
-115.6901217,33.55271632,208.0,7.0
-115.6901654,33.55272541,59.0,7.0
-115.68997,33.552618,236.0,19.0
-115.6894278,33.55255861,70.0,61.0
-115.6894369,33.55226307,32.0,50.0
-115.689564,33.55227903,6.0,24.0
-115.6902648,33.55235208,194.0,38.0
-115.6908864,33.55251884,22.0,23.0
-115.6909023,33.5525429,23.0,22.0
-115.6909708,33.55236399,186.0,13.0
-115.6913773,33.55229747,197.0,2.0
-115.6907768,33.55196829,208.0,17.0
-115.6907533,33.55169218,195.0,4.0
