Year ,Month ,Day ,Time UTC,Mag ,Lat,Lon,Depth km,Region,IRIS ID,Timestamp
2017,3,15,18:27:24,2.3,66.07,-149.03,11.9,NORTHERN ALASKA,10040950,1489602444
2017,3,15,18:22:55,0.8,38.83,-122.8,2.5,NORTHERN CALIFORNIA,10040947,1489602175
2017,3,15,18:10:33,1.2,32.92,-115.47,4.5,CALIF.-BAJA CALIF. BORDER REGION,10040945,1489601433
2017,3,15,17:57:25,1.2,47.63,-122.51,6.1,WASHINGTON,10040948,1489600645
2017,3,15,17:53:27,1.8,60.97,-151.24,67.2,"KENAI PENINSULA, ALASKA",10040943,1489600407
2017,3,15,17:28:14,0.2,37.65,-118.85,1.5,CALIFORNIA-NEVADA BORDER REGION,10040941,1489598894
2017,3,15,17:20:21,3.5,53.2,-161.3,23.5,SOUTH OF ALASKA,10040944,1489598421
2017,3,15,17:13:56,2.1,19.41,-155.28,0,HAWAII,10040935,1489598036
2017,3,15,16:56:52,0.8,38.84,-122.83,1.9,NORTHERN CALIFORNIA,10040930,1489597012
2017,3,15,16:51:09,3.6,36.88,-89.12,9,"NEW MADRID, MISSOURI REGION",10040931,1489596669
