km	age (Ma)
12.14	0.781
15.37	0.988
16.39	1.072
27.8	1.778
31.51	1.945
35.04	2.128
35.57	2.148
41.75	2.581
49.44	3.032
50.7	3.116
52.31	3.207
54.1	3.33
58.03	3.596
66.44	4.187
68.23	4.3
70.56	4.493
73.56	4.631
76.76	4.799
78.26	4.896
80.4	4.997
84.68	5.235
86.87	6.033
101.42	6.252
103.92	6.436
109.6	6.733
116.7	7.14
119.74	7.212
120.62	7.251
121.3	7.285
124.68	7.454
125.35	7.489
126.48	7.528
129.08	7.642
130.83	7.695
139.37	8.108
142.49	8.254
143.15	8.3
152.32	8.769
159.16	9.098
163.49	9.312
165.16	9.409
171	9.656
172.34	9.717
174.47	9.779
177.49	9.934
178.38	9.987
201.13	11.04
203.44	11.118
204.51	11.154
213.04	11.554
214.28	11.614
223.52	12.014
226.81	12.116
229.23	12.207
234.25	12.415
240.65	12.73
241.35	12.765
242.9	12.82
243.94	12.878
247.92	13.015
251.38	13.183
255.19	13.369
260.03	13.605
264.53	13.734
273.28	14.095
275.66	14.194
285.8	14.581
290.17	14.784
292.24	14.877
295.63	15.032
298.45	15.16
318.39	15.974
324.87	16.268
325.65	16.303
329.38	16.472
330.95	16.543
334.88	16.721
347.64	17.235
355.45	17.533
360.88	17.717
361.55	17.74
370.87	18.056
382.45	18.524
388.64	18.748
413.88	19.722
422.93	20.04
427.81	20.213
434.18	20.439
441.85	20.709
452.46	21.083
454.63	21.159
461.59	21.403
463.92	21.483
468.97	21.659
469.79	21.688
472.08	21.767
475.99	21.936
477.29	21.992
483.7	22.268
490.61	22.564
495.05	22.754
498.54	22.902
501.55	23.03
506.47	23.249
509.41	23.375
524.64	24.044
525.92	24.102
527.29	24.163
536.04	24.556
543.97	24.915
547.82	25.091
552.3	25.295
555.55	25.444
556.6	25.492
571.04	26.154
583.3	26.714
607.96	27.826
616.12	28.186
622.16	28.45
623.9	28.525
628.29	28.715
645.65	29.451
652.56	29.74
655.31	29.853
664.15	30.217
674.26	30.627
686.5	31.116
742.63	33.266
755.44	33.738
784.4	34.782
791.78	35.043
802.15	35.404
806.87	35.567
810.93	35.707
827.67	36.276
834.68	36.512
856.19	37.235
859.46	37.345
865.54	37.549
867.33	37.61
872.1	37.771
879.83	38.032
907.31	38.975
909.21	39.041
921.21	39.464
947.96	40.439
954.12	40.671
977.65	41.59
1006.06	42.774
1060.24	45.346
1094.71	47.235
1117.55	48.599
1130.78	49.427
1150.83	50.73
1153.9	50.932
1155.75	51.057
1168.2	51.901
1178.96	52.648
1184.03	53.004
1185.61	53.116
1186.34	53.167
1188.05	53.286
1195.35	53.808
1234.51	56.665
1241.5	57.18
1257.81	58.379
1262.74	58.737
1303.81	61.65
1308.7	61.983
1325.71	63.104
1341.99	64.128
1347.03	64.432
1358.66	65.118
1371.84	65.861
1407.22	67.696
1409.56	67.809
1429.14	68.732
1481.12	70.961
1487.68	71.225
1493.94	71.474
1531.81	72.929
1539.94	73.231
1542.32	73.318
1549.41	73.577
1723.76	79.543
1862.32	84
