Date,Time Low,Low Pred(Ft),Low Pred(cm),High Time,High Pred(Ft),High Pred(cm),Day
2017/01/01,03:59 AM,2.2,67,10:07 AM,5.4,165,1.0
2017/01/02,04:47 AM,2.3,70,10:48 AM,5.0,152,2.0
2017/01/03,05:49 AM,2.3,70,11:36 AM,4.5,137,3.0
2017/01/04,07:13 AM,2.3,70,12:42 PM,3.9,119,4.0
2017/01/05,08:55 AM,2.0,61,02:15 PM,3.4,104,5.0
2017/01/06,10:27 AM,1.4,43,04:04 PM,3.1,94,6.0
2017/01/07,11:36 AM,0.6,18,05:36 PM,3.2,98,7.0
2017/01/08,12:31 PM,-0.2,-6,06:44 PM,3.5,107,8.0
2017/01/09,01:19 PM,-0.9,-27,07:39 PM,3.8,116,9.0
2017/01/10,02:03 PM,-1.3,-40,08:27 PM,4.0,122,10.0
2017/01/11,02:46 PM,-1.6,-49,09:11 PM,4.1,125,11.0
2017/01/12,03:28 PM,-1.6,-49,09:54 PM,4.2,128,12.0
2017/01/13,04:08 PM,-1.4,-43,10:37 PM,4.3,131,13.0
2017/01/14,04:48 PM,-1.0,-30,11:20 PM,4.2,128,14.0
2017/01/15,05:28 PM,-0.5,-15,12:05 AM,4.2,128,15.0
2017/01/16,06:07 PM,0.0,0,12:53 AM,4.1,125,16.0
2017/01/17,06:48 PM,0.6,18,01:46 AM,4.1,125,17.0
2017/01/18,07:33 PM,1.1,34,02:43 AM,4.2,128,18.0
2017/01/19,08:26 PM,1.6,49,03:42 AM,4.3,131,19.0
2017/01/20,09:30 PM,1.9,58,04:35 AM,4.5,137,20.0
2017/01/21,10:35 PM,2.1,64,05:20 AM,4.7,143,21.0
2017/01/22,11:29 PM,2.2,67,05:59 AM,5.0,152,22.0
2017/01/24,12:13 AM,2.1,64,06:34 AM,5.3,162,23.0
2017/01/25,12:51 AM,2.0,61,07:08 AM,5.6,171,24.0
2017/01/26,01:27 AM,1.8,55,07:41 AM,5.8,177,25.0
2017/01/27,02:01 AM,1.7,52,08:14 AM,5.9,180,26.0
2017/01/28,02:37 AM,1.5,46,08:47 AM,5.9,180,27.0
2017/01/29,03:14 AM,1.5,46,09:23 AM,5.7,174,28.0
2017/01/30,03:55 AM,1.4,43,10:00 AM,5.4,165,29.0
2017/01/31,04:43 AM,1.5,46,10:42 AM,5.0,152,30.0
2017/02/01,05:39 AM,1.5,46,11:30 AM,4.3,131,31.0
2017/02/02,06:53 AM,1.5,46,12:33 PM,3.6,110,32.0
2017/02/03,08:28 AM,1.4,43,02:08 PM,3.0,91,33.0
2017/02/04,10:09 AM,0.9,27,04:13 PM,2.8,85,34.0
2017/02/05,11:27 AM,0.2,6,05:51 PM,3.1,94,35.0
2017/02/06,12:24 PM,-0.4,-12,06:53 PM,3.4,104,36.0
2017/02/07,01:11 PM,-0.9,-27,07:39 PM,3.8,116,37.0
2017/02/08,01:53 PM,-1.2,-37,08:18 PM,4.0,122,38.0
2017/02/09,02:32 PM,-1.4,-43,08:54 PM,4.3,131,39.0
2017/02/10,03:08 PM,-1.3,-40,09:29 PM,4.4,134,40.0
2017/02/11,03:42 PM,-1.1,-34,10:03 PM,4.5,137,41.0
2017/02/12,04:15 PM,-0.7,-21,10:36 PM,4.5,137,42.0
2017/02/13,04:47 PM,-0.2,-6,11:10 PM,4.4,134,43.0
2017/02/14,05:17 PM,0.3,9,11:45 PM,4.3,131,44.0
2017/02/15,05:47 PM,0.9,27,12:23 AM,4.2,128,45.0
2017/02/16,06:17 PM,1.4,43,01:09 AM,4.0,122,46.0
2017/02/17,06:52 PM,1.9,58,02:10 AM,4.0,122,47.0
2017/02/18,07:56 PM,2.3,70,03:25 AM,4.0,122,48.0
2017/02/19,09:49 PM,2.4,73,04:34 AM,4.2,128,49.0
2017/02/20,11:09 PM,2.4,73,05:28 AM,4.5,137,50.0
2017/02/22,12:00 AM,2.1,64,06:11 AM,4.9,149,51.0
2017/02/23,12:40 AM,1.8,55,06:48 AM,5.2,158,52.0
2017/02/24,01:16 AM,1.5,46,07:24 AM,5.5,168,53.0
2017/02/25,01:51 AM,1.2,37,07:59 AM,5.7,174,54.0
2017/02/26,02:27 AM,0.9,27,08:36 AM,5.7,174,55.0
2017/02/27,03:06 AM,0.7,21,09:13 AM,5.5,168,56.0
2017/02/28,03:49 AM,0.5,15,09:54 AM,5.2,158,57.0
2017/03/01,04:36 AM,0.5,15,10:39 AM,4.7,143,58.0
2017/03/02,05:31 AM,0.6,18,11:32 AM,4.0,122,59.0
2017/03/03,06:40 AM,0.6,18,12:41 PM,3.3,101,60.0
2017/03/04,08:09 AM,0.6,18,02:26 PM,2.8,85,61.0
2017/03/05,09:49 AM,0.4,12,04:35 PM,2.9,88,62.0
2017/03/06,11:10 AM,-0.1,-3,05:57 PM,3.2,98,63.0
2017/03/07,12:08 PM,-0.5,-15,06:46 PM,3.7,113,64.0
2017/03/08,12:55 PM,-0.8,-24,07:24 PM,4.0,122,65.0
2017/03/09,01:34 PM,-0.9,-27,07:57 PM,4.3,131,66.0
2017/03/10,02:09 PM,-0.9,-27,08:27 PM,4.5,137,67.0
2017/03/11,02:41 PM,-0.8,-24,08:56 PM,4.7,143,68.0
2017/03/12,04:10 PM,-0.5,-15,10:24 PM,4.7,143,69.0
2017/03/13,04:38 PM,-0.1,-3,10:51 PM,4.7,143,70.0
2017/03/14,05:04 PM,0.3,9,11:18 PM,4.7,143,71.0
2017/03/15,05:29 PM,0.8,24,11:45 PM,4.5,137,72.0
2017/03/16,05:52 PM,1.2,37,12:15 AM,4.4,134,73.0
2017/03/17,06:15 PM,1.7,52,12:48 AM,4.1,125,74.0
2017/03/18,06:39 PM,2.1,64,01:35 AM,3.9,119,75.0
2017/03/19,07:12 PM,2.5,76,02:51 AM,3.8,116,76.0
2017/03/20,10:03 PM,2.7,82,04:31 AM,3.8,116,77.0
2017/03/21,11:50 PM,2.5,76,05:46 AM,4.1,125,78.0
2017/03/23,12:43 AM,2.1,64,06:39 AM,4.4,134,79.0
2017/03/24,01:23 AM,1.6,49,07:23 AM,4.8,146,80.0
2017/03/25,02:00 AM,1.1,34,08:03 AM,5.1,155,81.0
2017/03/26,02:37 AM,0.6,18,08:42 AM,5.3,162,82.0
2017/03/27,03:16 AM,0.2,6,09:23 AM,5.3,162,83.0
2017/03/28,03:57 AM,-0.2,-6,10:05 AM,5.1,155,84.0
2017/03/29,04:41 AM,-0.4,-12,10:50 AM,4.8,146,85.0
2017/03/30,05:30 AM,-0.5,-15,11:41 AM,4.3,131,86.0
2017/03/31,06:25 AM,-0.4,-12,12:41 PM,3.7,113,87.0
2017/04/01,07:31 AM,-0.2,-6,01:59 PM,3.2,98,88.0
2017/04/02,08:52 AM,0.0,0,03:47 PM,3.0,91,89.0
2017/04/03,10:23 AM,0.0,0,05:33 PM,3.2,98,90.0
2017/04/04,11:41 AM,-0.2,-6,06:38 PM,3.6,110,91.0
2017/04/05,12:40 PM,-0.3,-9,07:22 PM,4.0,122,92.0
2017/04/06,01:26 PM,-0.4,-12,07:57 PM,4.4,134,93.0
2017/04/07,02:05 PM,-0.4,-12,08:27 PM,4.6,140,94.0
2017/04/08,02:37 PM,-0.2,-6,08:55 PM,4.8,146,95.0
2017/04/09,03:06 PM,0.0,0,09:20 PM,5.0,152,96.0
2017/04/10,03:33 PM,0.3,9,09:45 PM,5.1,155,97.0
2017/04/11,03:58 PM,0.6,18,10:08 PM,5.1,155,98.0
2017/04/12,04:21 PM,0.9,27,10:32 PM,5.0,152,99.0
2017/04/13,04:45 PM,1.3,40,10:57 PM,4.9,149,100.0
2017/04/14,05:08 PM,1.6,49,11:24 PM,4.7,143,101.0
2017/04/15,05:32 PM,2.0,61,11:55 PM,4.4,134,102.0
2017/04/16,05:57 PM,2.3,70,12:34 AM,4.1,125,103.0
2017/04/17,06:41 PM,2.7,82,01:33 AM,3.8,116,104.0
2017/04/18,09:17 PM,2.8,85,03:12 AM,3.7,113,105.0
2017/04/19,11:18 PM,2.5,76,04:49 AM,3.7,113,106.0
2017/04/21,12:18 AM,2.0,61,05:58 AM,4.0,122,107.0
2017/04/22,01:02 AM,1.4,43,06:52 AM,4.3,131,108.0
2017/04/23,01:42 AM,0.8,24,07:40 AM,4.5,137,109.0
2017/04/24,02:23 AM,0.1,3,08:26 AM,4.7,143,110.0
2017/04/25,03:04 AM,-0.4,-12,09:12 AM,4.7,143,111.0
2017/04/26,03:48 AM,-0.9,-27,10:00 AM,4.6,140,112.0
2017/04/27,04:34 AM,-1.1,-34,10:50 AM,4.3,131,113.0
2017/04/28,05:24 AM,-1.2,-37,11:46 AM,4.0,122,114.0
2017/04/29,06:19 AM,-1.0,-30,12:51 PM,3.6,110,115.0
2017/04/30,07:21 AM,-0.8,-24,02:09 PM,3.4,104,116.0
2017/05/01,08:32 AM,-0.5,-15,03:41 PM,3.4,104,117.0
2017/05/02,09:49 AM,-0.2,-6,05:03 PM,3.7,113,118.0
2017/05/03,11:01 AM,-0.1,-3,06:03 PM,4.1,125,119.0
2017/05/04,12:00 PM,0.0,0,06:47 PM,4.4,134,120.0
2017/05/05,12:48 PM,0.1,3,07:22 PM,4.7,143,121.0
2017/05/06,01:27 PM,0.3,9,07:53 PM,5.0,152,122.0
2017/05/07,01:59 PM,0.5,15,08:19 PM,5.2,158,123.0
2017/05/08,02:28 PM,0.8,24,08:44 PM,5.3,162,124.0
2017/05/09,02:54 PM,1.0,30,09:08 PM,5.4,165,125.0
2017/05/10,03:19 PM,1.3,40,09:32 PM,5.4,165,126.0
2017/05/11,03:44 PM,1.5,46,09:57 PM,5.3,162,127.0
2017/05/12,04:10 PM,1.8,55,10:23 PM,5.2,158,128.0
2017/05/13,04:37 PM,2.0,61,10:52 PM,5.0,152,129.0
2017/05/14,05:06 PM,2.3,70,11:24 PM,4.8,146,130.0
2017/05/15,05:44 PM,2.6,79,12:02 AM,4.5,137,131.0
2017/05/16,06:44 PM,2.8,85,12:53 AM,4.1,125,132.0
2017/05/17,08:36 PM,2.9,88,02:09 AM,3.8,116,133.0
2017/05/18,10:32 PM,2.6,79,03:45 AM,3.6,110,134.0
2017/05/19,11:46 PM,2.0,61,05:12 AM,3.7,113,135.0
2017/05/21,12:39 AM,1.3,40,06:21 AM,3.8,116,136.0
2017/05/22,01:25 AM,0.6,18,07:20 AM,4.0,122,137.0
2017/05/23,02:10 AM,-0.2,-6,08:14 AM,4.2,128,138.0
2017/05/24,02:54 AM,-0.8,-24,09:06 AM,4.2,128,139.0
2017/05/25,03:40 AM,-1.3,-40,09:58 AM,4.2,128,140.0
2017/05/26,04:27 AM,-1.5,-46,10:51 AM,4.1,125,141.0
2017/05/27,05:17 AM,-1.6,-49,11:48 AM,4.0,122,142.0
2017/05/28,06:09 AM,-1.4,-43,12:49 PM,3.9,119,143.0
2017/05/29,07:05 AM,-1.0,-30,01:57 PM,3.8,116,144.0
2017/05/30,08:05 AM,-0.6,-18,03:09 PM,3.9,119,145.0
2017/05/31,09:09 AM,-0.2,-6,04:19 PM,4.1,125,146.0
2017/06/01,10:12 AM,0.2,6,05:17 PM,4.4,134,147.0
2017/06/02,11:11 AM,0.5,15,06:04 PM,4.7,143,148.0
2017/06/03,12:01 PM,0.8,24,06:43 PM,5.0,152,149.0
2017/06/04,12:43 PM,1.1,34,07:16 PM,5.2,158,150.0
2017/06/05,01:18 PM,1.3,40,07:45 PM,5.4,165,151.0
2017/06/06,01:50 PM,1.5,46,08:11 PM,5.5,168,152.0
2017/06/07,02:19 PM,1.7,52,08:37 PM,5.6,171,153.0
2017/06/08,02:47 PM,1.9,58,09:04 PM,5.7,174,154.0
2017/06/09,03:16 PM,2.0,61,09:32 PM,5.7,174,155.0
2017/06/10,03:47 PM,2.1,64,10:02 PM,5.6,171,156.0
2017/06/11,04:19 PM,2.3,70,10:33 PM,5.4,165,157.0
2017/06/12,04:56 PM,2.4,73,11:07 PM,5.2,158,158.0
2017/06/13,05:40 PM,2.6,79,11:45 PM,4.9,149,159.0
2017/06/14,06:39 PM,2.8,85,12:30 AM,4.5,137,160.0
2017/06/15,08:04 PM,2.8,85,01:32 AM,4.1,125,161.0
2017/06/16,09:45 PM,2.5,76,02:56 AM,3.7,113,162.0
2017/06/17,11:12 PM,2.0,61,04:32 AM,3.5,107,163.0
2017/06/19,12:18 AM,1.3,40,05:58 AM,3.5,107,164.0
2017/06/20,01:11 AM,0.5,15,07:10 AM,3.6,110,165.0
2017/06/21,02:00 AM,-0.3,-9,08:10 AM,3.8,116,166.0
2017/06/22,02:47 AM,-0.9,-27,09:05 AM,4.0,122,167.0
2017/06/23,03:33 AM,-1.4,-43,09:56 AM,4.1,125,168.0
2017/06/24,04:19 AM,-1.6,-49,10:46 AM,4.2,128,169.0
2017/06/25,05:05 AM,-1.5,-46,11:37 AM,4.3,131,170.0
2017/06/26,05:53 AM,-1.3,-40,12:29 PM,4.3,131,171.0
2017/06/27,06:41 AM,-0.9,-27,01:24 PM,4.3,131,172.0
2017/06/28,07:31 AM,-0.4,-12,02:23 PM,4.3,131,173.0
2017/06/29,08:23 AM,0.2,6,03:23 PM,4.4,134,174.0
2017/06/30,09:17 AM,0.7,21,04:22 PM,4.6,140,175.0
2017/07/01,10:13 AM,1.2,37,05:15 PM,4.8,146,176.0
2017/07/02,11:08 AM,1.6,49,06:00 PM,5.0,152,177.0
2017/07/03,11:58 AM,1.8,55,06:38 PM,5.2,158,178.0
2017/07/04,12:41 PM,2.0,61,07:12 PM,5.4,165,179.0
2017/07/05,01:20 PM,2.1,64,07:44 PM,5.6,171,180.0
2017/07/06,01:54 PM,2.2,67,08:14 PM,5.8,177,181.0
2017/07/07,02:28 PM,2.2,67,08:45 PM,5.9,180,182.0
2017/07/08,03:01 PM,2.2,67,09:16 PM,5.9,180,183.0
2017/07/09,03:35 PM,2.2,67,09:48 PM,5.9,180,184.0
2017/07/10,04:10 PM,2.2,67,10:21 PM,5.8,177,185.0
2017/07/11,04:49 PM,2.3,70,10:55 PM,5.5,168,186.0
2017/07/12,05:33 PM,2.4,73,11:33 PM,5.2,158,187.0
2017/07/13,06:27 PM,2.4,73,12:16 AM,4.7,143,188.0
