Latitude,Longitude,Temperature (°C),Salinity (Unitless),Density (kg/m$^3$),Dissolved Oxygen (ml/l),Percent Oxygen Saturation,Apparent Oxygen Utilization,Silicate,Phosphate,Nitrate
-77.5,-177.5,-0.935,34.192,27.509,7.81,0.491,94.258,65.797,22.631,1.665
-77.5,-172.5,-0.8170000000000001,34.132,27.465,8.451,-0.23199999999999998,102.829,58.933,19.349,1.531
-77.5,-167.5,-0.884,34.039,27.369,8.1,0.21,97.523,58.64,15.655,1.6269999999999998
-77.5,-162.5,-1.159,33.963,27.326999999999998,8.064,0.221,97.445,60.598,13.514000000000001,1.422
-77.5,-157.5,-1.2,33.762,27.166999999999998,8.012,0.34700000000000003,95.902,63.733999999999995,15.706,1.485
-77.5,-152.5,-1.5090000000000001,33.685,27.135,8.003,0.46799999999999997,94.454,62.562,22.511999999999997,1.6340000000000001
-77.5,-52.5,-1.766,34.332,27.648000000000003,,,,,,
-77.5,-47.5,-1.609,34.483000000000004,27.765,7.5329999999999995,0.895,89.395,63.5,29.4,2.11
-77.5,-42.5,-1.5530000000000002,34.039,27.415,7.768,0.693,91.777,59.788999999999994,24.163,1.91
-77.5,-37.5,-1.306,33.955999999999996,27.334,7.973,0.42100000000000004,95.023,61.34,21.671,1.7480000000000002
-77.5,-32.5,-1.46,34.113,27.459,7.973,0.406,95.228,59.28,20.309,1.4669999999999999
-77.5,167.5,-0.539,34.226,27.504,7.906000000000001,0.098,99.035,58.577,16.633,1.246
-77.5,172.5,-0.56,34.42,27.678,8.186,0.075,99.321,68.34,20.895,1.564
-77.5,177.5,-0.789,34.378,27.653000000000002,8.049,0.21600000000000003,97.557,70.434,20.629,1.5919999999999999
-72.5,-177.5,-0.996,33.966,27.319000000000003,7.722,0.42100000000000004,94.913,58.715,26.355,1.847
-72.5,-172.5,-1.1520000000000001,33.78,27.182,7.897,0.413,95.069,54.111000000000004,25.653000000000002,1.8090000000000002
-72.5,-167.5,-0.917,33.736,27.092,8.067,0.168,98.06299999999999,53.312,21.886,1.4869999999999999
-72.5,-162.5,-1.1420000000000001,33.876,27.479,8.457,0.027000000000000003,99.762,47.268,18.967,1.537
-72.5,-157.5,-1.561,33.681,27.171999999999997,7.796,1.6340000000000001,80.675,48.687,25.151999999999997,1.722
-72.5,-152.5,-1.168,33.671,27.11,7.8,0.613,92.744,42.41,24.351,1.67
-72.5,-147.5,-1.415,33.499,26.927,8.097000000000001,0.293,96.49,38.593,21.848000000000003,1.4280000000000002
-72.5,-142.5,-1.371,33.696,27.075,8.152999999999999,0.256,96.98899999999999,37.484,25.395,1.423
-72.5,-137.5,-1.3459999999999999,33.613,27.070999999999998,8.047,0.434,94.869,73.155,23.47,1.6980000000000002
-72.5,-132.5,-1.5930000000000002,33.696999999999996,27.128,7.829,0.664,92.17200000000001,81.557,24.767,1.901
-72.5,-127.5,-1.7369999999999999,33.564,26.999000000000002,7.721,0.779,90.804,74.55199999999999,25.622,1.83
-72.5,-122.5,-1.329,33.348,26.822,8.2,0.263,96.89200000000001,64.03,19.359,1.129
-72.5,-117.5,-1.276,33.36,26.854,7.843999999999999,0.28300000000000003,96.66,68.001,17.887,1.284
-72.5,-112.5,-1.314,33.486,26.949,7.76,0.7020000000000001,91.719,71.866,24.59,1.739
-72.5,-107.5,-1.679,33.285,26.767,8.055,0.171,97.971,63.405,19.028,1.3730000000000002
-72.5,-102.5,-1.146,33.49,26.951999999999998,7.7989999999999995,0.7090000000000001,91.646,54.847,23.311999999999998,1.659
-72.5,-97.5,-1.5590000000000002,33.394,26.872,7.778,0.745,91.19,34.679,24.713,1.734
-72.5,-92.5,-1.702,33.481,26.951,8.163,0.272,96.818,54.108000000000004,26.194000000000003,1.784
-72.5,-87.5,-1.7690000000000001,33.791,27.195,7.524,0.68,91.977,69.008,28.174,2.0069999999999997
-72.5,-82.5,-1.722,33.556999999999995,27.011,7.915,0.569,93.296,63.59,22.835,1.541
-72.5,-77.5,-1.663,33.174,26.701999999999998,7.835,0.657,92.27,64.759,20.375999999999998,1.49
-72.5,-57.5,-1.881,34.378,27.684,,,,,,
-72.5,-52.5,-1.8159999999999998,34.114000000000004,27.451,7.518,0.915,89.181,73.143,23.5,2.094
-72.5,-47.5,-1.78,34.03,27.399,7.83,0.622,92.64299999999999,72.04,23.44,1.824
-72.5,-42.5,-1.632,33.871,27.266,8.072000000000001,0.37,95.619,60.4,24.9,1.742
-72.5,-37.5,-1.518,33.9,27.269000000000002,8.31,0.028999999999999998,99.664,51.5,19.933,1.475
-72.5,-32.5,-1.624,33.911,27.320999999999998,8.09,0.41600000000000004,95.074,56.75,23.125,1.53
-72.5,-27.5,-0.872,33.708,27.108,8.66,-0.18600000000000003,102.19200000000001,64.667,17.91,1.335
-72.5,-22.5,-0.972,34.044000000000004,27.39,7.904,0.5770000000000001,93.053,67.207,22.685,1.631
-72.5,-17.5,-0.991,34.047,27.375,7.917999999999999,0.16399999999999998,97.99700000000001,61.09,18.675,1.545
-72.5,-12.5,-1.214,33.966,27.304000000000002,7.641,0.7859999999999999,90.68799999999999,63.897,28.875,1.85
-72.5,172.5,-0.873,34.134,27.46,7.593999999999999,0.6709999999999999,91.90299999999999,65.408,23.113000000000003,1.601
-72.5,177.5,-0.899,34.154,27.48,7.678999999999999,0.5479999999999999,93.435,60.076,26.324,1.7480000000000002
-67.5,-177.5,-0.29100000000000004,33.918,27.249000000000002,7.671,0.584,93.04799999999999,52.236000000000004,26.845,1.77
-67.5,-172.5,-0.20800000000000002,33.775,27.098000000000003,8.044,0.22,97.322,55.063,26.366999999999997,1.715
-67.5,-167.5,-0.34700000000000003,33.744,27.116999999999997,7.941,0.198,97.544,56.516999999999996,24.337,1.672
