wind data downloaded from http://www.ndbc.noaa.gov/radial_search.php?lat1=33N&lon1=117W&uom=E&dist=250&ot=A&time=1  for  5/15/2017 at 0100 GMT within 250 miles of 33N/117W,,,,,
LAT,LON,DIST,HDG,WDIR,WSPD
32.87,-117.26,15,239,320,7
32.87,-117.26,15,239,310,7
32.87,-117.26,15,239,310,8
32.87,-117.26,15,239,310,8
32.87,-117.26,15,239,310,8
32.87,-117.26,15,239,310,8
32.87,-117.26,15,239,320,7
32.87,-117.26,15,239,310,8
32.87,-117.26,15,239,310,8
32.87,-117.26,15,239,300,8
32.87,-117.27,16,240,,
32.87,-117.27,16,240,,
32.71,-117.17,19,206,,
32.71,-117.17,19,206,,
32.71,-117.17,19,206,,
32.71,-117.17,19,206,,
32.71,-117.17,19,206,,
32.71,-117.17,19,206,,
32.71,-117.17,19,206,,
32.71,-117.17,19,206,,
32.71,-117.17,19,206,,
32.93,-117.39,20,258,,
32.71,-117.18,20,208,300,8
32.71,-117.18,20,208,300,9.9
32.71,-117.18,20,208,300,11.1
32.93,-117.39,20,258,,
32.71,-117.18,20,208,300,9.9
32.71,-117.18,20,208,300,11.1
32.71,-117.18,20,208,290,9.9
32.71,-117.18,20,208,290,11.1
32.7,-117.2,21,209,310,6
33.18,-117.47,26,295,,
33.18,-117.47,26,295,,
32.75,-117.5,29,239,,
32.75,-117.5,29,239,,
32.53,-117.42,35,217,,
32.53,-117.42,35,217,,
33.58,-118.18,69,301,,
33.58,-118.18,69,301,,
33.7,-118.2,73,305,,
33.7,-118.2,73,305,,
33.73,-118.19,74,307,240,12
33.73,-118.19,74,307,240,12
33.73,-118.19,74,307,240,12
33.73,-118.19,74,307,240,12
33.73,-118.19,74,307,240,12
33.73,-118.19,74,307,240,13
33.73,-118.19,74,307,240,13
33.73,-118.19,74,307,240,14
33.73,-118.19,74,307,240,14
33.72,-118.25,76,305,230,8.9
33.74,-118.24,76,306,190,7
33.75,-118.22,76,307,220,12
33.72,-118.25,76,305,230,11.1
33.74,-118.24,76,306,190,5.1
33.75,-118.22,76,307,230,12
33.72,-118.25,76,305,220,11.1
33.74,-118.24,76,306,210,7
33.75,-118.22,76,307,230,9.9
33.72,-118.25,76,305,230,8.9
33.74,-118.24,76,306,210,6
33.75,-118.22,76,307,240,8
33.72,-118.25,76,305,230,8
33.74,-118.24,76,306,210,7
33.75,-118.22,76,307,240,11.1
33.62,-118.32,76,300,,
33.72,-118.25,76,305,240,9.9
33.74,-118.24,76,306,200,6
33.75,-118.22,76,307,230,9.9
33.72,-118.25,76,305,230,9.9
33.74,-118.24,76,306,200,8.9
33.75,-118.22,76,307,230,11.1
33.72,-118.25,76,305,230,8.9
33.74,-118.24,76,306,190,8
33.75,-118.22,76,307,230,12
33.72,-118.25,76,305,230,9.9
33.74,-118.24,76,306,210,7
33.75,-118.22,76,307,230,11.1
33.77,-118.24,77,307,300,6
33.72,-118.27,77,305,,
33.77,-118.23,77,307,270,5.1
33.77,-118.24,77,307,310,6
33.72,-118.27,77,305,,
33.77,-118.23,77,307,270,6
33.72,-118.27,77,305,,
33.77,-118.23,77,307,270,5.1
33.77,-118.24,77,307,310,5.1
33.72,-118.27,77,305,,
33.77,-118.23,77,307,240,6
33.77,-118.24,77,307,290,6
33.72,-118.27,77,305,,
33.77,-118.23,77,307,230,6
33.77,-118.24,77,307,270,8
33.72,-118.27,77,305,,
33.77,-118.23,77,307,210,6
33.77,-118.24,77,307,300,6
33.72,-118.27,77,305,,
33.77,-118.23,77,307,190,7
33.77,-118.24,77,307,270,7
33.72,-118.27,77,305,,
33.77,-118.23,77,307,200,7
33.77,-118.24,77,307,230,8
33.72,-118.27,77,305,,
33.77,-118.23,77,307,220,7
33.76,-118.27,78,306,280,2.9
33.76,-118.27,78,306,260,5.1
33.76,-118.27,78,306,270,6
33.76,-118.27,78,306,270,6
33.76,-118.27,78,306,280,6
33.76,-118.27,78,306,290,8
33.76,-118.27,78,306,270,6
33.76,-118.27,78,306,270,6
33.76,-118.27,78,306,280,4.1
34.01,-118.5,96,309,220,13
34.01,-118.5,96,309,220,12
34.01,-118.5,96,309,220,11.1
33.85,-118.63,96,302,,
34.01,-118.5,96,309,220,11.1
34.01,-118.5,96,309,230,11.1
34.01,-118.5,96,309,230,8.9
34.01,-118.5,96,309,230,8.9
34.01,-118.5,96,309,230,9.9
33.85,-118.63,96,302,,
34.01,-118.5,96,309,240,9.9
33.75,-119.05,112,294,290,7.8
33.75,-119.05,112,294,290,9.7
33.76,-119.55,136,290,,
33.76,-119.55,136,290,,
34.17,-119.44,141,301,,
34.17,-119.44,141,301,,
33.22,-119.88,145,276,,
33.22,-119.88,145,276,,
34.41,-119.69,159,303,90,4.1
34.41,-119.69,159,303,100,5.1
34.41,-119.69,159,303,100,4.1
34.41,-119.69,159,303,50,2.9
34.41,-119.69,159,303,20,6
34.41,-119.69,159,303,290,8.9
34.41,-119.69,159,303,290,8.9
34.25,-119.85,161,299,280,21.4
34.25,-119.85,161,299,280,21.4
35.39,-114.62,186,39,140,8.9
35.39,-114.62,186,39,150,8.9
35.39,-114.62,186,39,140,9.9
35.46,-114.67,187,37,140,8.9
35.46,-114.67,187,37,140,9.9
35.46,-114.67,187,37,140,11.1
34.47,-120.68,204,297,,
34.47,-120.68,204,297,,
34.47,-120.68,204,297,,
34.47,-120.68,204,297,,
34.47,-120.68,204,297,,
34.47,-120.68,204,297,,
34.58,-120.65,205,299,360,27
34.44,-120.77,207,296,,
34.44,-120.77,207,296,,
34.45,-120.78,208,296,,
34.45,-120.78,208,296,,
36.05,-114.75,214,31,150,1.9
36.05,-114.75,214,31,210,2.9
36.05,-114.75,214,31,330,4.1
36.09,-114.73,217,31,290,1.9
36.09,-114.73,217,31,300,1.9
36.09,-114.73,217,31,300,4.1
35.17,-120.75,227,306,260,5.1
35.17,-120.75,227,306,290,4.1
35.17,-120.75,227,306,60,4.1
35.17,-120.75,227,306,330,8.9
35.17,-120.75,227,306,340,7
36.13,-114.41,227,34,350,4.1
35.17,-120.75,227,306,330,8.9
35.17,-120.75,227,306,350,7
36.13,-114.41,227,34,350,4.1
35.17,-120.75,227,306,350,12
35.17,-120.75,227,306,340,9.9
36.13,-114.41,227,34,360,4.1
35.2,-120.86,233,306,,
35.2,-120.86,233,306,,
