Sample ID	Sample label	U [mg/kg]	Th [mg/kg]	232Th/238U	206Pb [mg/kg]	f206 [%]	207Pb/206Pb	207Pb/206Pb e rel [%]	207Pb/235U	207Pb/235U e rel [%]	206Pb/238U	206Pb/238U e rel [%]	Age dated [ka] (Age, 206Pb/238U Lead-Uranium)	Age e [±] (Age, 206Pb/238U Lead-Uranium)	Age dated [ka] (Age, 207Pb/206Pb Lead-Lead)	Age e [±] (Age, 207Pb/206Pb Lead-Lead)	Perc [%]
ABA/81	1.1c	571	396	0.72	98.1	0.03	0.0800	0.570000	2.170	1.500	0.2000	1.3000	1175000	14000	1165000	11000	-1
ABA/81	2.1r	750	95	0.13	118.0	0.03	0.0800	0.560000	1.920	1.400	0.1800	1.3000	1086000	13000	1090000	11000	0
ABA/81	2.2c	111	195	1.81	17.8	0.00	0.0800	1.500000	1.990	2.200	0.1900	1.6000	1100000	16000	1132000	30000	3
ABA/81	3.1c	100	100	1.04	15.5	0.00	0.0800	1.500000	1.930	2.300	0.1800	1.8000	1071000	17000	1128000	31000	5
ABA/81	3.2r	572	195	0.35	85.8	0.00	0.0800	1.500000	1.830	2.100	0.1700	1.4000	1038000	13000	1091000	30000	5
ABA/81	4.1c	701	569	0.84	118.0	0.15	0.0800	0.640000	2.110	1.300	1.2000	1.2000	1150000	12000	1151000	13000	0
ABA/81	5.1c	1579	211	0.14	263.0	0.08	0.0800	0.370000	2.070	1.200	0.1900	1.1000	1140000	12000	1133000	7300	-1
ABA/81	6.1c	493	279	0.58	87.2	0.02	0.0800	0.830000	2.250	1.400	0.2100	1.2000	1207000	13000	1182000	16000	-2
ABA/81	7.1r	855	10	0.01	64.0	0.00	0.0600	0.760000	0.700	1.700	0.0900	1.5000	539000	7600	538000	17000	0
ABA/81	7.2c	1072	1463	1.41	189.0	0.04	0.0800	0.430000	2.240	1.300	0.2100	1.2000	1204000	13000	1174000	8500	-3
ABA/81	8.1rc	165	70	0.44	23.9	0.07	0.0700	1.100000	1.730	1.700	0.1700	1.4000	1003000	13000	1059000	22000	5
ABA/81	9.1r	597	5	0.01	47.1	0.57	0.0600	2.300000	0.740	2.600	0.0900	1.3000	564000	6700	550000	50000	-2
ABA/81	10.1c	508	417	0.85	90.2	0.00	0.0800	0.530000	2.230	1.300	2.2100	1.2000	1211000	13000	1154000	10000	-5
ABA/81	11.1c	1569	212	0.14	267.0	0.01	0.0800	0.450000	2.110	1.400	0.2000	1.3000	1164000	14000	1129000	9000	-3
