SAMPLE ID	CALCULATED AGE	CALCULATED MAX AGE	CALCULATED MIN AGE	LATITUDE	LONGITUDE	STATE
82-97	0	0.006	0.002	41.409	-122.1945	CALIFORNIA
97-4	0	0.006	0.002	41.4272	-122.16	CALIFORNIA
99-12A	0	0.006	0.002	41.4258	-122.1635	CALIFORNIA
99-14	0	0.006	0.002	41.4153	-122.1793	CALIFORNIA
99-15	0	0.006	0.002	41.4298	-122.1695	CALIFORNIA
99-16	0	0.006	0.002	41.4287	-122.1625	CALIFORNIA
99-19	0	0.006	0.002	41.4458	-122.1608	CALIFORNIA
MSH 33	0	0.004	0	46.22	-122.187	WASHINGTON
Fi-32	0	1	0	38.7	-113	UTAH
CAR-15	0	0.0015	0	33.76257	-106.01613	NEW MEXICO
CAR-19	0	0.0015	0	33.399567	-106.19977	NEW MEXICO
CAR-11	0	0.0015	0	33.818436	-105.93787	NEW MEXICO
MAC-14	0	0.001	0	34.836143	-108.03693	NEW MEXICO
MAC-18	0	0.001	0	35.115314	-107.98604	NEW MEXICO
s_5	0	0.0038	0.0038	46.206	-121.49	WASHINGTON
CO73	0	0.01	0	19.51	-103.62	JALISCO
BO74-1	0	0.0006	0.0002	38.006668	-119.025	CALFORNIA
s_480	0	0.0038	0.001	46.206	-121.49	WASHINGTON
s_253	0	0.0038	0.001	46.206	-121.49	WASHINGTON
69-19	0	0.0025	0.002	43.4517	-113.5353	IDAHO
SH20	0	0.0024	0.002	46.2	-122.18	WASHINGTON
SH16	0	-0.00153	-0.00163	46.2	-122.18	WASHINGTON
s_L82-63	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_L82-59	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_DS-61	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_L82-57	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_DS-2	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-33	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_DS-79	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_SH-3	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_MSH-484-1	0	0.00148	0.00148	46.2	-122.18	WASHINGTON
s_SH-25	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-78	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_DS-6	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_L82-56	0	0.0022	0.0017	46.2	-122.18	WASHINGTON
s_SS-17	0	0.01	0	44.1	-121.75	OREGON
s_SH-114	0	0.01	0	46.1436	-122.2019	WASHINGTON
s_SS-18	0	0.01	0	44.1	-121.75	OREGON
s_RM-4	0	0.01	0	44.1	-121.75	OREGON
s_SS-73	0	0.01	0	44.1	-121.75	OREGON
s_SS-75	0	0.01	0	44.1	-121.75	OREGON
s_SS-69	0	0.01	0	44.1	-121.75	OREGON
s_SS-52	0	0.01	0	44.1	-121.75	OREGON
s_SS-60	0	0.01	0	44.1	-121.75	OREGON
