Lecture,Topic,Application,Date,Lecturer,Assignment,status
1,"Intro to notebooks, file systems and paths",,7-Jan,Tauxe,,uploaded
2,Variables and Operations,,9-Jan,Tauxe,,uploaded
3,Data structures ,,11-Jan,Tauxe,#1,uploaded
4,"Dictionaries, program loops (if, while and for)",,14-Jan,Tauxe,,done?
5,functions and modules,,16-Jan,Tauxe,,done?
6,NumPy and matplotlib ,seismic record,18-Jan,Cych,#2,done?
7,NumPy arrays,,23-Jan,Tauxe,,need to redo.  Argh!
8,"Pandas, file I/O ",P-S wave arrival times,25-Jan,Tauxe,#3,done?
9,data wrangling with Pandas,seismic travel time plots,28-Jan,Tauxe,,done?
10,object oriented programming,objects and classes,30-Jan,Tauxe,,
11,"lambda, map, filter reduce, list comprehension",,1-Feb,Tauxe,#4,
12,Pandas filtering and exceptions,volcanic eruptions,4-Feb,Cych,,take exceptions out
13,"subplots, bar charts pie charts",elemental abundances,6-Feb,Tauxe,,put exceptions
14,histograms and cumulative distribution functions,hypsometric curve,8-Feb,Tauxe,#5,
15,statistics 101,Univariate data,11-Feb,Tauxe,,
16,line and curve fitting  ,Bivariate data & Hubble plot,13-Feb,Tauxe,,
17,visualization with seaborn,seaborn,15-Feb,Cych,Project Proposal AND  #6 ,
18,maps,spatial data; earthquake locations/ depths,20-Feb,Tauxe,,put scatter in
19,gridding and contouring ,IGRF,22-Feb,Tauxe,#7,
20,rose diagrams and equal area projections,glacial striations,25-Feb,Tauxe,,
21,matrix math - dot and cross products,poles to planes and more,27-Feb,Tauxe,,
22,plotting great and small circles,earthquake location,1-Mar,Tauxe,#8,
23,Graphical User Interfaces (GUIs) and animations ,bathymetry?,4-Mar,Tauxe,,needs work
24,Machine learning,geochem splotches,6-Mar,Cych,,need to write
25,3D plots of points and surfaces,benioff zone,8-Mar,Tauxe,#9,
26,Time series  - periodograms,temporal data,11-Mar,Cych,,
27,Animations,Indian plate motion,13-Mar,Cych,,
