Lat,Lon,Elevation (m),Temperature,Salinity,Dissolved Oxygen,Nitrate,Phosphate,Silicate
30.5,-124.5,0,0.998544057,0.963508489,0.890499195,0.001701303,0.093085822,0.012217464
30.5,-123.5,0,0.994758605,0.962384343,0.896618357,0.001313664,0.087436104,0.012603744
30.5,-122.5,0,0.991380816,0.962009627,0.898711755,0.001507484,0.086629002,0.012532006
30.5,-121.5,0,0.9743754,0.961173724,0.898389694,0.001787445,0.093354856,0.012559597
30.5,-120.5,0,0.967386873,0.962269046,0.89726248,0.00180898,0.101963949,0.012311275
30.5,-119.5,0,0.968668103,0.964084974,0.888405797,0.001507484,0.106268496,0.011373168
30.5,-118.5,0,0.978568517,0.966160321,0.889049919,0.001529019,0.101156847,0.010970334
30.5,-117.5,0,0.995108031,0.966073848,0.892270531,0.002455045,0.099004574,0.011869813
30.5,-116.5,0,0.94927494,0.966102672,0.917552335,0.001959729,0.111918214,0.013497704
31.5,-124.5,0,0.970589948,0.958608365,0.907246377,0.001765909,0.087436104,0.013078315
31.5,-123.5,0,0.965406791,0.959415444,0.909500805,0.001636696,0.087974173,0.012471305
31.5,-122.5,0,0.953875721,0.959559565,0.909822866,0.001938193,0.090933549,0.012371976
31.5,-121.5,0,0.940772232,0.96074136,0.916586151,0.002756541,0.094969061,0.012283684
31.5,-120.5,0,0.944324734,0.961951979,0.911433172,0.002325832,0.094969061,0.012206428
31.5,-119.5,0,0.947353095,0.964459689,0.914814815,0.003940993,0.095507129,0.012316793
31.5,-118.5,0,0.96977462,0.964834405,0.90531401,0.001852051,0.096045198,0.011902922
31.5,-117.5,0,0.981247452,0.966189145,0.907890499,0.00157209,0.092278719,0.010865486
32.5,-124.5,0,0.941005183,0.957541867,0.906602254,0.003122645,0.108689804,0.016196142
32.5,-123.5,0,0.935589075,0.956619491,0.91900161,0.001701303,0.092278719,0.012465787
32.5,-122.5,0,0.916836527,0.957541867,0.929146538,0.004974696,0.096314232,0.013243864
32.5,-121.5,0,0.913284025,0.959444268,0.932850242,0.006848283,0.098466505,0.012984505
32.5,-120.5,0,0.904664842,0.962355518,0.931239936,0.009001831,0.10008071,0.012901731
32.5,-119.5,0,0.920447266,0.964546162,0.929468599,0.009109508,0.099542642,0.013536332
32.5,-118.5,0,0.971463514,0.966160321,0.917552335,0.004737806,0.091740651,0.012416122
32.5,-117.5,0,0.990973152,0.965843254,0.927697262,0.002950361,0.082324455,0.014711725
33.5,-124.5,0,0.930813581,0.954054132,0.926409018,0.001852051,0.091471617,0.012736182
33.5,-123.5,0,0.906936113,0.955293575,0.933816425,0.003790244,0.096314232,0.01296795
33.5,-122.5,0,0.881777415,0.957340097,0.94041868,0.009497147,0.106806564,0.013580479
33.5,-121.5,0,0.870188108,0.959559565,0.947181965,0.011586088,0.107882701,0.014005386
33.5,-120.5,0,0.858540563,0.964257919,0.945571659,0.029482072,0.116760829,0.017415681
33.5,-119.5,0,0.906470211,0.965727957,0.945410628,0.021406267,0.110304009,0.017294279
33.5,-118.5,0,0.981596878,0.965670308,0.941384863,0.005599225,0.083131558,0.013591515
34.5,-124.5,0,0.87962262,0.95411178,0.933011272,0.003962528,0.112725316,0.011985697
34.5,-123.5,0,0.867975074,0.955005332,0.940096618,0.006417573,0.086898036,0.012118135
34.5,-122.5,0,0.862093064,0.957974231,0.953462158,0.012469043,0.105461394,0.014424775
34.5,-121.5,0,0.838215596,0.963335543,0.963768116,0.028943685,0.12267958,0.01632858
35.5,-124.5,0,0.859181178,0.953189404,0.952657005,0.01033703,0.099004574,0.019319486
35.5,-123.5,0,0.836351989,0.955812412,0.954911433,0.018262087,0.127253161,0.014032977
35.5,-122.5,0,0.806534273,0.958723662,0.952818035,0.029439001,0.144471348,0.017917844
35.5,-121.5,0,0.774794712,0.962384343,0.936714976,0.067901368,0.164110842,0.028325313
36.5,-124.5,0,0.821326655,0.952728216,0.966022544,0.003402606,0.124831854,0.017327388
36.5,-123.5,0,0.81864772,0.95587006,0.968760064,0.033293852,0.129943503,0.018171685
36.5,-122.5,0,0.751674335,0.963364367,1,0.131495639,0.221146086,0.048588425
