Degrees,P_wave_minutes,P_wave_seconds,S-P_minutes,S-P_seconds,P_decimal_minutes,SP_decimal_minutes,S_decimal_minutes
0.0,0,5.4,0,4.0,0.09,0.0666666666667,0.156666666667
0.5,0,10.6,0,7.8,0.176666666667,0.13,0.306666666667
1.0,0,17.7,0,13.5,0.295,0.225,0.52
1.5,0,24.6,0,19.0,0.41,0.316666666667,0.726666666667
2.0,0,31.4,0,24.4,0.523333333333,0.406666666667,0.93
2.5,0,38.3,0,29.9,0.638333333333,0.498333333333,1.13666666667
3.0,0,45.2,0,35.4,0.753333333333,0.59,1.34333333333
3.5,0,52.1,0,40.9,0.868333333333,0.681666666667,1.55
4.0,0,58.9,0,46.4,0.981666666667,0.773333333333,1.755
4.5,1,5.8,0,51.9,1.09666666667,0.865,1.96166666667
5.0,1,12.7,0,57.4,1.21166666667,0.956666666667,2.16833333333
5.5,1,19.6,1,2.8,1.32666666667,1.04666666667,2.37333333333
6.0,1,26.4,1,8.3,1.44,1.13833333333,2.57833333333
6.5,1,33.3,1,13.8,1.555,1.23,2.785
7.0,1,40.2,1,19.2,1.67,1.32,2.99
7.5,1,47.0,1,24.7,1.78333333333,1.41166666667,3.195
8.0,1,53.9,1,30.1,1.89833333333,1.50166666667,3.4
8.5,2,0.7,1,35.6,2.01166666667,1.59333333333,3.605
9.0,2,7.6,1,41.0,2.12666666667,1.68333333333,3.81
9.5,2,14.4,1,46.5,2.24,1.775,4.015
10.0,2,21.3,1,51.9,2.355,1.865,4.22
11.0,2,35.0,2,2.7,2.58333333333,2.045,4.62833333333
12.0,2,48.7,2,13.5,2.81166666667,2.225,5.03666666667
13.0,3,2.3,2,24.3,3.03833333333,2.405,5.44333333333
14.0,3,16.0,2,35.0,3.26666666667,2.58333333333,5.85
15.0,3,29.5,2,45.8,3.49166666667,2.76333333333,6.255
16.0,3,42.5,2,57.1,3.70833333333,2.95166666667,6.66
17.0,3,55.2,3,8.7,3.92,3.145,7.065
18.0,4,7.5,3,20.5,4.125,3.34166666667,7.46666666667
19.0,4,18.8,3,33.4,4.31333333333,3.55666666667,7.87
