,Degrees,P_wave_minutes,P_wave_seconds,S-P_minutes,S-P_seconds
0,0.0,0,5.4,0,4.0
1,0.5,0,10.6,0,7.8
2,1.0,0,17.7,0,13.5
3,1.5,0,24.6,0,19.0
4,2.0,0,31.4,0,24.4
5,2.5,0,38.3,0,29.9
6,3.0,0,45.2,0,35.4
7,3.5,0,52.1,0,40.9
8,4.0,0,58.9,0,46.4
9,4.5,1,5.8,0,51.9
10,5.0,1,12.7,0,57.4
11,5.5,1,19.6,1,2.8
12,6.0,1,26.4,1,8.3
13,6.5,1,33.3,1,13.8
14,7.0,1,40.2,1,19.2
15,7.5,1,47.0,1,24.7
16,8.0,1,53.9,1,30.1
17,8.5,2,0.7,1,35.6
18,9.0,2,7.6,1,41.0
19,9.5,2,14.4,1,46.5
20,10.0,2,21.3,1,51.9
21,11.0,2,35.0,2,2.7
22,12.0,2,48.7,2,13.5
23,13.0,3,2.3,2,24.3
24,14.0,3,16.0,2,35.0
25,15.0,3,29.5,2,45.8
26,16.0,3,42.5,2,57.1
27,17.0,3,55.2,3,8.7
28,18.0,4,7.5,3,20.5
29,19.0,4,18.8,3,33.4
30,20.0,4,29.7,3,43.8
31,21.0,4,40.6,3,52.9
32,22.0,4,51.3,4,1.8
33,23.0,5,1.9,4,9.2
34,24.0,5,11.6,4,15.7
35,25.0,5,20.7,4,22.6
36,26.0,5,29.8,4,29.4
37,27.0,5,38.8,4,36.2
38,28.0,5,47.7,4,42.9
39,29.0,5,56.6,4,49.8
40,30.0,6,5.5,4,56.6
41,31.0,6,14.3,5,3.4
42,32.0,6,23.1,5,10.2
43,33.0,6,31.9,5,17.0
44,34.0,6,40.5,5,23.8
45,35.0,6,49.2,5,30.5
46,36.0,6,57.8,5,37.3
47,37.0,7,6.3,5,44.0
48,38.0,7,14.7,5,50.7
49,39.0,7,23.1,5,57.4
50,40.0,7,31.4,6,4.0
51,41.0,7,39.7,6,10.7
52,42.0,7,47.9,6,17.3
53,43.0,7,56.0,6,23.9
54,44.0,8,4.1,6,30.4
55,45.0,8,12.1,6,37.0
56,46.0,8,20.0,6,43.5
57,47.0,8,27.8,6,49.9
58,48.0,8,35.6,6,56.4
59,49.0,8,43.3,7,2.8
60,50.0,8,50.9,7,9.1
61,51.0,8,58.5,7,15.5
62,52.0,9,6.0,7,21.8
63,53.0,9,13.4,7,28.1
64,54.0,9,20.7,7,34.3
65,55.0,9,28.0,7,40.5
66,56.0,9,35.2,7,46.6
67,57.0,9,42.3,7,52.8
68,58.0,9,49.4,7,58.8
69,59.0,9,56.3,8,4.9
70,60.0,10,3.2,8,10.9
71,61.0,10,10.1,8,16.9
72,62.0,10,16.8,8,22.8
73,63.0,10,23.5,8,28.7
74,64.0,10,30.1,8,34.5
75,65.0,10,36.7,8,40.3
76,66.0,10,43.2,8,46.1
77,67.0,10,49.5,8,51.8
78,68.0,10,55.9,8,57.5
79,69.0,11,2.1,9,3.1
80,70.0,11,8.3,9,8.7
81,71.0,11,14.4,9,14.3
82,72.0,11,20.4,9,19.8
83,73.0,11,26.4,9,25.2
84,74.0,11,32.3,9,30.6
85,75.0,11,38.1,9,36.0
86,76.0,11,43.8,9,41.3
87,77.0,11,49.5,9,46.6
88,78.0,11,55.1,9,51.8
89,79.0,12,0.6,9,57.0
90,80.0,12,6.0,10,2.1
91,81.0,12,11.4,10,7.2
92,82.0,12,16.7,10,12.3
93,83.0,12,21.9,10,17.3
94,84.0,12,27.0,10,22.2
95,85.0,12,32.0,10,27.1
96,86.0,12,37.0,10,31.9
97,87.0,12,41.9,10,36.7
98,88.0,12,46.7,10,41.4
99,89.0,12,51.4,10,46.1
100,90.0,12,56.1,10,50.7
101,91.0,13,0.7,10,55.2
102,92.0,13,5.4,10,59.5
103,93.0,13,10.0,11,3.7
104,94.0,13,14.5,11,7.9
105,95.0,13,19.1,11,12.0
106,96.0,13,23.6,11,16.1
107,97.0,13,28.1,11,20.1
108,98.0,13,32.6,11,24.1
109,99.0,13,37.0,11,28.1
110,100.0,13,41.5,11,32.0
111,101.0,13,45.9,11,35.8
112,102.0,13,50.4,11,39.7
113,103.0,13,54.8,11,43.6
114,104.0,13,59.2,11,47.5
115,105.0,14,3.7,11,51.4
