Minutes,Velocity
0,1807
0.000833333,1749
0.001666667,1694
0.0025,1618
0.003333333,1516
0.004166667,1394
0.005,1282
0.005833333,1198
0.006666667,1077
0.0075,957
0.008333333,856
0.009166667,745
0.01,639
0.010833333,588
0.011666667,533
0.0125,500
0.013333333,486
0.014166667,494
0.015,558
0.015833333,587
0.016666667,699
0.0175,827
0.018333333,925
0.019166667,1105
0.02,1286
0.020833333,1464
0.021666667,1661
0.0225,1871
0.023333333,2070
0.024166667,2242
0.025,2407
0.025833333,2572
0.026666667,2753
0.0275,2910
0.028333333,3058
0.029166667,3212
0.03,3345
0.030833333,3463
0.031666667,3568
0.0325,3668
0.033333333,3757
0.034166667,3869
0.035,3955
0.035833333,3994
0.036666667,4041
0.0375,4048
0.038333333,4063
0.039166667,4074
0.04,4069
0.040833333,4073
0.041666667,4054
0.0425,4037
0.043333333,3989
0.044166667,3949
0.045,3920
0.045833333,3860
0.046666667,3805
0.0475,3720
0.048333333,3618
0.049166667,3547
0.05,3464
0.050833333,3368
0.051666667,3274
0.0525,3182
0.053333333,3093
0.054166667,2995
0.055,2914
0.055833333,2844
0.056666667,2752
0.0575,2662
0.058333333,2570
0.059166667,2447
0.06,2327
0.060833333,2198
0.061666667,2057
0.0625,1920
0.063333333,1765
0.064166667,1600
0.065,1393
0.065833333,1168
0.066666667,963
0.0675,698
0.068333333,474
0.069166667,272
0.07,69
0.070833333,-53
0.071666667,-211
0.0725,-325
0.073333333,-404
0.074166667,-493
0.075,-529
0.075833333,-580
0.076666667,-620
0.0775,-650
0.078333333,-663
0.079166667,-635
0.08,-600
0.080833333,-587
0.081666667,-556
0.0825,-512
0.083333333,-514
0.084166667,-482
0.085,-445
0.085833333,-452
0.086666667,-432
0.0875,-467
0.088333333,-514
0.089166667,-535
0.09,-558
0.090833333,-536
0.091666667,-551
0.0925,-527
0.093333333,-438
0.094166667,-378
0.095,-289
0.095833333,-162
0.096666667,-14
0.0975,158
0.098333333,318
0.099166667,474
0.1,651
0.100833333,809
0.101666667,974
0.1025,1137
0.103333333,1276
0.104166667,1426
0.105,1562
0.105833333,1710
0.106666667,1842
0.1075,1954
0.108333333,2076
0.109166667,2180
0.11,2292
0.110833333,2414
0.111666667,2502
0.1125,2572
0.113333333,2664
0.114166667,2739
0.115,2812
0.115833333,2889
0.116666667,2958
0.1175,3042
0.118333333,3124
0.119166667,3208
0.12,3291
0.120833333,3389
0.121666667,3490
0.1225,3566
0.123333333,3660
0.124166667,3763
0.125,3849
0.125833333,3944
0.126666667,3997
0.1275,4031
0.128333333,4046
0.129166667,4029
0.13,4024
0.130833333,3995
0.131666667,3946
0.1325,3907
0.133333333,3901
0.134166667,3877
0.135,3867
0.135833333,3839
0.136666667,3810
0.1375,3805
0.138333333,3736
0.139166667,3695
0.14,3621
0.140833333,3543
0.141666667,3475
0.1425,3353
0.143333333,3241
0.144166667,3129
0.145,3055
0.145833333,2948
0.146666667,2801
0.1475,2674
0.148333333,2538
0.149166667,2400
0.15,2268
0.150833333,2133
0.151666667,1973
0.1525,1839
0.153333333,1736
0.154166667,1639
0.155,1567
0.155833333,1479
0.156666667,1405
0.1575,1383
0.158333333,1331
0.159166667,1298
0.16,1319
0.160833333,1314
0.161666667,1340
0.1625,1374
0.163333333,1432
0.164166667,1528
0.165,1591
0.165833333,1682
0.166666667,1772
0.1675,1876
0.168333333,1965
0.169166667,1997
0.17,2095
0.170833333,2160
0.171666667,2190
0.1725,2233
0.173333333,2259
0.174166667,2321
0.175,2371
0.175833333,2426
0.176666667,2468
0.1775,2478
0.178333333,2524
0.179166667,2556
0.18,2568
0.180833333,2587
0.181666667,2554
0.1825,2502
0.183333333,2464
0.184166667,2420
0.185,2358
0.185833333,2270
0.186666667,2216
0.1875,2112
0.188333333,1988
0.189166667,1910
0.19,1796
0.190833333,1710
0.191666667,1634
0.1925,1501
0.193333333,1365
0.194166667,1250
0.195,1102
0.195833333,966
0.196666667,825
0.1975,651
0.198333333,516
0.199166667,363
0.2,222
0.200833333,107
0.201666667,-6
0.2025,-85
0.203333333,-156
0.204166667,-199
0.205,-221
0.205833333,-233
0.206666667,-186
0.2075,-98
0.208333333,-56
0.209166667,-52
0.21,-5
0.210833333,41
0.211666667,77
0.2125,148
0.213333333,214
0.214166667,305
0.215,413
0.215833333,503
0.216666667,631
0.2175,764
0.218333333,892
0.219166667,1023
0.22,1138
0.220833333,1291
0.221666667,1396
0.2225,1476
0.223333333,1589
0.224166667,1665
0.225,1760
0.225833333,1849
0.226666667,1926
0.2275,1997
0.228333333,2039
0.229166667,2123
0.23,2227
0.230833333,2298
0.231666667,2376
0.2325,2473
0.233333333,2550
0.234166667,2646
0.235,2742
0.235833333,2817
0.236666667,2888
0.2375,2956
0.238333333,3067
0.239166667,3173
0.24,3265
0.240833333,3392
0.241666667,3505
0.2425,3628
0.243333333,3770
0.244166667,3873
0.245,3966
0.245833333,4075
0.246666667,4173
0.2475,4249
0.248333333,4336
0.249166667,4403
0.25,4446
0.250833333,4489
0.251666667,4516
0.2525,4570
0.253333333,4588
0.254166667,4561
0.255,4542
0.255833333,4514
0.256666667,4479
0.2575,4392
0.258333333,4288
0.259166667,4211
0.26,4096
0.260833333,3944
0.261666667,3777
0.2625,3643
0.263333333,3506
0.264166667,3342
0.265,3219
0.265833333,3058
0.266666667,2923
0.2675,2790
0.268333333,2644
0.269166667,2548
0.27,2404
0.270833333,2275
0.271666667,2144
0.2725,2040
0.273333333,1962
0.274166667,1842
0.275,1721
0.275833333,1611
0.276666667,1529
0.2775,1399
0.278333333,1255
0.279166667,1126
0.28,952
0.280833333,797
0.281666667,625
0.2825,442
0.283333333,297
0.284166667,139
0.285,11
0.285833333,-114
0.286666667,-258
0.2875,-406
0.288333333,-516
0.289166667,-586
0.29,-712
0.290833333,-765
0.291666667,-802
0.2925,-879
0.293333333,-874
0.294166667,-866
0.295,-857
0.295833333,-824
0.296666667,-750
0.2975,-666
0.298333333,-627
0.299166667,-549
0.3,-479
0.300833333,-430
0.301666667,-342
0.3025,-256
0.303333333,-169
0.304166667,-103
0.305,-33
0.305833333,98
0.306666667,211
0.3075,303
0.308333333,429
0.309166667,562
0.31,691
0.310833333,824
0.311666667,976
0.3125,1123
0.313333333,1251
0.314166667,1394
0.315,1534
0.315833333,1651
0.316666667,1767
0.3175,1878
0.318333333,1979
0.319166667,2076
0.32,2157
0.320833333,2226
0.321666667,2284
0.3225,2319
0.323333333,2378
0.324166667,2447
0.325,2482
0.325833333,2495
0.326666667,2515
0.3275,2586
0.328333333,2647
0.329166667,2680
0.33,2706
0.330833333,2749
0.331666667,2805
0.3325,2827
0.333333333,2872
0.334166667,2904
0.335,2932
0.335833333,2985
0.336666667,3029
0.3375,3069
0.338333333,3074
0.339166667,3093
0.34,3105
0.340833333,3101
0.341666667,3084
0.3425,3044
0.343333333,3009
0.344166667,2948
0.345,2897
0.345833333,2835
0.346666667,2753
0.3475,2697
0.348333333,2646
0.349166667,2565
0.35,2503
0.350833333,2472
0.351666667,2420
0.3525,2380
0.353333333,2330
0.354166667,2276
0.355,2209
0.355833333,2132
0.356666667,2066
0.3575,1992
0.358333333,1914
0.359166667,1803
0.36,1687
0.360833333,1615
0.361666667,1533
0.3625,1444
0.363333333,1397
0.364166667,1369
0.365,1404
0.365833333,1464
0.366666667,1534
0.3675,1645
0.368333333,1717
0.369166667,1818
0.37,1953
0.370833333,2078
0.371666667,2181
0.3725,2264
0.373333333,2421
0.374166667,2551
0.375,2675
0.375833333,2825
0.376666667,2918
0.3775,3018
0.378333333,3101
0.379166667,3194
0.38,3277
0.380833333,3281
0.381666667,3292
0.3825,3290
0.383333333,3273
0.384166667,3256
0.385,3174
0.385833333,3106
0.386666667,3046
0.3875,2963
0.388333333,2926
0.389166667,2845
0.39,2763
0.390833333,2729
0.391666667,2668
0.3925,2601
0.393333333,2543
0.394166667,2476
0.395,2407
0.395833333,2334
0.396666667,2245
0.3975,2138
0.398333333,2043
0.399166667,1967
0.4,1867
0.400833333,1778
0.401666667,1676
0.4025,1579
0.403333333,1518
0.404166667,1454
0.405,1376
0.405833333,1279
0.406666667,1194
0.4075,1117
0.408333333,1069
0.409166667,1027
0.41,988
0.410833333,983
0.411666667,987
0.4125,979
0.413333333,978
0.414166667,973
0.415,985
0.415833333,1014
0.416666667,1017
0.4175,1048
0.418333333,1072
0.419166667,1085
0.42,1130
0.420833333,1168
0.421666667,1234
0.4225,1279
0.423333333,1312
0.424166667,1374
0.425,1421
0.425833333,1498
0.426666667,1531
0.4275,1595
0.428333333,1672
0.429166667,1714
0.43,1822
0.430833333,1847
0.431666667,1882
0.4325,1951
0.433333333,1947
0.434166667,1985
0.435,2004
0.435833333,1986
0.436666667,1988
0.4375,1997
0.438333333,2019
0.439166667,2019
0.44,2039
0.440833333,2045
0.441666667,2046
0.4425,2087
0.443333333,2095
0.444166667,2134
0.445,2170
0.445833333,2198
0.446666667,2217
0.4475,2212
0.448333333,2220
0.449166667,2231
0.45,2223
0.450833333,2184
0.451666667,2180
0.4525,2165
0.453333333,2162
0.454166667,2145
0.455,2128
0.455833333,2103
0.456666667,2014
0.4575,1970
0.458333333,1888
0.459166667,1802
0.46,1740
0.460833333,1647
0.461666667,1548
0.4625,1442
0.463333333,1387
0.464166667,1345
0.465,1304
0.465833333,1275
0.466666667,1264
0.4675,1265
0.468333333,1253
0.469166667,1264
0.47,1248
0.470833333,1248
0.471666667,1252
0.4725,1225
0.473333333,1186
0.474166667,1110
0.475,1067
0.475833333,987
0.476666667,926
0.4775,883
0.478333333,780
0.479166667,726
0.48,706
0.480833333,698
0.481666667,671
0.4825,676
0.483333333,702
0.484166667,741
0.485,801
0.485833333,831
0.486666667,884
0.4875,946
0.488333333,1058
0.489166667,1190
0.49,1308
0.490833333,1407
0.491666667,1490
0.4925,1619
0.493333333,1724
0.494166667,1828
0.495,1941
0.495833333,2046
0.496666667,2208
0.4975,2355
0.498333333,2469
0.499166667,2632
0.5,2787
0.500833333,2958
0.501666667,3147
0.5025,3301
0.503333333,3479
0.504166667,3610
0.505,3736
0.505833333,3878
0.506666667,3989
0.5075,4137
0.508333333,4267
0.509166667,4385
0.51,4508
0.510833333,4612
0.511666667,4746
0.5125,4857
0.513333333,4945
0.514166667,5064
0.515,5151
0.515833333,5222
0.516666667,5275
0.5175,5291
0.518333333,5307
0.519166667,5262
0.52,5178
0.520833333,5090
0.521666667,4970
0.5225,4815
0.523333333,4678
0.524166667,4486
0.525,4252
0.525833333,4066
0.526666667,3832
0.5275,3615
0.528333333,3387
0.529166667,3126
0.53,2905
0.530833333,2684
0.531666667,2477
0.5325,2259
0.533333333,2065
0.534166667,1911
0.535,1768
0.535833333,1645
0.536666667,1519
0.5375,1391
0.538333333,1284
0.539166667,1169
0.54,1080
0.540833333,976
0.541666667,874
0.5425,810
0.543333333,668
0.544166667,568
0.545,487
0.545833333,364
0.546666667,270
0.5475,138
0.548333333,22
0.549166667,-80
0.55,-200
0.550833333,-314
0.551666667,-434
0.5525,-568
0.553333333,-709
0.554166667,-823
0.555,-970
0.555833333,-1102
0.556666667,-1207
0.5575,-1340
0.558333333,-1456
0.559166667,-1565
0.56,-1637
0.560833333,-1706
0.561666667,-1748
0.5625,-1783
